balance	zostatok
balance sheet	súvaha
balance sheet	rozvaha
balance sheet	bilancia
balanced	vyvážený
balanced	vyrovnaný
balanced	súmerný
balanced	symetrický
balanced	symetricky
balanced	balančný
balanced	rovnomerný
balanced	rovnovážny
balanced	poloupokojený
balanced	odbremenený
balancer	vyrovnávač
balancer	kompenzátor
balancer	homogenitátor
balancing	vyrovnanie
balancing	nastavenie
balancing	vyváženie
balancing	váženie
balancing	vyvažovanie
balancing	vyrovnávanie
balancing	zriadený
balancing	vyvážený
balancing	nastavený
balancing	skonto
balancing	uzávierka
balancing	kompenzačný
balancing	vyvažovací
balancing	balančný
balancing	vyrovnávací
balancing	bilancia
balcony	balkón
balcony	plošina
balcony	balkónový
balcony	pavlačový
balcony	balkónová
balcony	balkónové
bald	holohlavý
bald	lysý
bald	nudný
bald	holý
bald	suchý
bald	plešatý
bald	jednotvárny
bald	nahý
bald	prostý
bald-headed	plešatý
balderdash	nezmysel
balderdash	táranina
bale	žoch
bale	vrece
bale	paketovať
bale	balíkový
bale	bieda
bale	nešťastie
bale	skaza
balk	trám
balk	brvno
balk	prekážka
balk	klada
balk	hraniť
balk	hrada
Balkan	balkánsky
ball	guľa
ball	gulička
ball	lopta
ball	ples
ball	schopný
ball	bledý
ball	klbko
ball	guľka
ball	guľkovanie
ball	upchanie
ball	guľôčka
ball	oblý
ball	guľkový
ball	guľový
ball-shaped	baňatý
ball-shaped	bankovitý
ball-shaped	kupolovitý
ball-shaped	polguľový
ball-shaped	baňatá
ball-shaped	baňaté
ball-shaped	kupolovitá
ball-shaped	kupolovité
ball-shaped	polguľová
ball-shaped	polguľové
ballad	balada
ballad	pesnička
ballast	príťaž
ballast	balast
ballast	záťaž
ballast	predradník
ballast	štrk
ballast	stabilizátor
ballast	zásady
ballast	podklad
ballast	zaťažiť
ballast	zaťažovať
ballet	balet
ballistic	balistický
ballistic	vrhací
ballistics	balistika
balloon	balón
balloon	bublinka
balloon	balónik
ballot	hlasovanie
ballot	kandidátka
ballot	urna
ballyhoo	prehnaná
ballyhoo	nezmysel
balm	balzám
balsam	balzam
baluster	baluster
balustrade	balustráda
bamboo	bambus
bamboozle	napáliť
bamboozle	dobehnúť
bamboozle	obalamutiť
bamboozle	oklamať
ban	zakázať
ban	vypovedanie
ban	vyobcovanie
ban	zákaz
ban	vyhostenie
ban	kliatba
ban	exkomunikácia
ban	štatút
ban	výnos
ban	rozkaz
ban	pokuta
ban	trest
ban	záväzok
ban	obmedzenie
ban	pole
banal	všedný
banal	otrepaný
banal	banálny
banal	triviálny
banal	triviálna
banal	triviálne
banality	všednosť
banality	banalita
banana	banán
band	stuha
band	pásik
band	tlupa
band	remeň
band	obruč
band	kapela
band	pás
band	pásmo
band	prstenec
band	krúžok
band	zóna
band	pruh
band	lišta
band	pásový
band	zónový
band	páskový
band	pásmový
band	okruh
band	zväzok
band	skupina
band	páska
bandage	obväz
bandage	bandáž
bandage	obviazať
bandage	ovíjadlo
bandaging	bandážovanie
bandbox	škatuľa
banding	bandáž
banding	bandážovanie
banding	páskovací
bandit	bandita
bandit	zbojník
bandit	ganster
bandit	zločinec
bandit	lupič
bandy	odpaľovať
bane	kliatba
bane	záhuba
bane	zločinec
baneful	zhubný
bang	udrieť
bang	buchnúť
bang	rana
bang	tĺcť
bang	tresnúť
bang	tresk
bang	buch
bang	presne
bang	náhle
bang	buchnutie
banish	odstrániť
banish	vypovedať
banish	vyhostiť
banish	vykázať
