sacrosanct	nezrušiteľný
sacrum	kríž
sad	smutný
sad	skľúčený
sad	nešťastný
sad	skľučujúci
sad	melancholický
sad	trúchlivý
sad	zarmucujúci
sad	nehanebný
sad	vážny
sad	žalostný
sad	poľutovaniahodný
sad	chmúrny
sad	ťažkomyseľný
sad	pekný
sad	poriadny
sad	ťažký
sad	zlý
sad	nenapraviteľný
sad	škaredý
sad	nepolepšiteľný
sad	beznádejný
sad	tlmený
sad	nevýrazný
sad	tuhý
sad	zrazený
sad	sadnutý
sad	pevný
sad	smutná
sad	smutné
sad sack	hlupák
sadden	zosmutnieť
sadden	zarmútiť
sadden	skľúčiť
sadden	zhoršiť
sadden	sťažiť
sadden	tmavnúť
saddle	osedlať
saddle	sedadlo
saddle	ľadvina
saddle	podložka
saddle	poduška
saddle	opora
saddle	klenba
saddle	pokladnica
saddle	sedlo
saddle	sedielko
saddle	suport
saddle	príchytka
saddle	sedlový
saddle	sedlovitý
saddle	trecí
saddle	vrcholový
saddler	sedlár
saddlery	sedlárstvo
saddlery	sedlársky
Sadducean	saducejský
Sadducee	saducej
sadism	sadizmus
sadist	sadista
sadistic	sadistický
sadistic	zvrhlý
sadly	poriadne
sadly	veľmi
sadness	smútok
sadness	skľúčenosť
safe	safe
safe	neporušený
safe	nepoškodený
safe	zaručený
safe	opatrný
safe	neškodný
safe	hladký
safe	prezervatív
safe	bezpečná
safe	istá
safe	dovolený
safe	nedobytný
safe	trezor
safe	bezpečný
safe	istý
safe	bezpečnostný
safe	sejf
safe	pokladňa
safe	zabezpečiť
safe	spoľahlivý
safe	dôveryhodný
safe-conduct	sprievodka
safe-deposit box	trezor
safebreaker	zlodej
safebreaker	kasár
safeguard	bezpečnosť
safeguard	zaručiť
safeguard	zaručovať
safeguard	ochraňovať
safeguard	záruka
safeguard	správa
safeguard	bezpečnostný
safeguard	garancia
safeguard	ochrana
safeguard	zaistiť
safeguard	zabezpečiť
safeguard	chrániť
safekeeping	úschova
safekeeping	správa
safekeeping	ochrana
safekeeping	uloženie
safely	bezpečne
safeness	bezpečnosť
safety	istota
safety	zabezpečenie
safety	bezpečnostné
safety	bezpečnostná
safety	ochranný
safety	ochranná
safety	ochranné
safety	poistný
safety	havarijný
safety	dovolený
safety	záchranný
safety	bezpečnostný
safety	chránený
safety	zabezpečovací
safety	tavný
safety	bezpečnosť
safety	bezpečie
safety	spoľahlivosť
safety catch	poistka
safety device	poistka
safety fuse	zápalnica
safety margin	tolerancia
safflower	svetlica
saffron	šafran
safranin	safranín
safranine	safranín
sag	klesnúť
sag	klesať
sag	prehnutie
sag	priehyb
sag	sadnutie
sag	prievis
sag	reťazovka
sag	tvarovací
sag	podpätie
saga	sága
sagacious	inteligentný
sagacious	múdry
sagacious	bystrý
sagacious	ostrovtipný
sagacity	bystrosť
sagacity	inteligentnosť
sage	mudrc
sage	múdry
sage	šalvia
sagging	prehýbanie
sagging	prepadávanie
sagging	tvarovací
sagittal	šípový
sagittate	strelovitý
sagittate	šípovitý
Saharan	saharský
said	povedaný
said	povedaná
said	povedané
said	zmienený
sail	plachta
sail	loď
sail	plávať
sail	plachtiť
sail	peruť
sail	krídlo
sail	plachetnica
sail	plavidlo
sail	plachtový
sail	tykadlo
sail	závesný
sail	vyplávať
sailboat	plachetnica
sailcloth	plachtovina
sailing	plavba
sailing	plachtenie
sailing	plachtový
sailor	námorník
sailor	lodník
sailplane	vetroň
saint	svätec
saint	svätý
sainted	posvätný
sainted	svätý
sainted	kanonizovaný
sainted	posvätený
sainthood	svätosť
saintliness	zbožnosť
saintliness	svätosť
saintliness	posvätnosť
saintly	zbožný
saintly	svätý
saintly	svätá
saintly	sväté
