banishment	vyhnanstvo
banister	zábradlie
banister	baluster
banister	hmatadlo
banister	často
banjo	bendžo
bank	banka
bank	zmenáreň
bank	sporiteľňa
bank	bank
bank	násyp
bank	svah
bank	rozsah
bank	rad
bank	skupina
bank	skládka
bank	náklon
bank	vkladný
bank	breh
bank	bankový
bank	financovať
bank bill	bankovka
bank note	bankovka
bankable	obchodovateľný
banker	bankár
banking	bankovníctvo
banking	peňažníctvo
banking	naklonenie
banking	úradný
banking	bankový
banking industry	peňažníctvo
banking system	bankovníctvo
banknote	bankovka
bankroll	peniaze
bankroll	financovať
bankrupt	bankrotár
bankrupt	insolventný
bankrupt	zbankrotovaný
bankrupt	úpadca
bankrupt	konkurz
bankrupt	úpadok
bankrupt	skrachovaný
bankrupt	zničiť
bankrupt	zruinovať
bankrupt	bankrot
bankruptcy	úpadok
bankruptcy	likvidácia
bankruptcy	bankrot
bankruptcy	krach
bankruptcy	konkurzný
bankruptcy	konkurz
banner	prápor
banner	štandarda
banner	transparent
banner	titulok
banner	zástava
banner	záhlavie
banner	nadpis
banner	prekážkový
banns	ohlášky
banquet	banket
banquet	hostina
banquet	recepcia
banquet	pohostiť
banquette	lavička
banquette	berma
banquette	násyp
bantam	miniatúrny
banter	žartovanie
banter	špásovanie
banter	žart
banter	žartovať
banter	podpichovať
baptism	krst
Baptist	krstiteľ
baptistery	krstiteľnica
baptistery	baptistérium
baptize	krstiť
baptize	pomenovať
baptize	pokrstiť
bar	tyč
bar	prekážka
bar	zatarasiť
bar	blokovať
bar	hradiť
bar	odpor
bar	výhoda
bar	tribunál
bar	kláves
bar	zakazovať
bar	závora
bar	pásmo
bar	tabuľka
bar	výčap
bar	takt
bar	zátvorka
bar	bar
bar	prehradiť
bar	tyčinka
bar	brvno
bar	zahradzovať
bar	pás
bar	stĺpec
bar	lišta
bar	tyčovina
bar	predvalok
bar	prípojnica
bar	lamela
bar	tyčový
bar	trámcový
bar	stĺpcový
bar	bidlo
bar	zatvoriť
bar	zaraziť
bar	znemožniť
bar	pruh
bar	námietka
bar	zakázať
bar	vylúčiť
bar	nepripustiť
bar chart	histogram
barbarian	barbar
barbarian	barbarský
barbarian	divoch
barbarism	barbarstvo
barbecue	ražeň
barbel	sumec
barber	holič
barbican	barbakán
barbital	barbital
barbiturate	barbiturát
bard	básnik
bard	bard
bare	holý
bare	nahý
bare	prostý
bare	číry
bare	neizolovaný
bare	prázdny
bare	prázdna
bare	prázdne
bare	vlastný
bare	obnažený
bare	odhaliť
bare	overiť
bare	bezpodmienečný
barefoot	bosý
barefoot	nezačapovaný
barefoot	naboso
bareheaded	prostovlasý
barely	sotva
barely	sťažka
barely	iba
barely	taktak
bargain	obchod
bargain	kontrakt
bargain	výpredaj
bargain	zľavnený
bargain	transakcia
bargain	vyjednávať
bargain	zmluva
bargain	kúpa
bargain	rokovanie
bargain	dohoda
bargain	očakávať
bargainer	predávajúci
bargaining	vyjednávanie
barge	bárka
barge	vlečniak
barge	čln
barge	plť
bargeman	lodník
bargeman	plavec
baric	báriový
baric	bárnatý
barium	bárium
barium	bárnatý
barium	stály
barium	báriový
bark	kôra
bark	štekot
bark	štekať
bark	brechať
bark	odkôrniť
bark	brechot
barker	pištoľ
barker	odkôrňovací
barker	odkôrňovač
barley	jačmeň
barley	krúpy
barley	jačmenný
barley	hráškový
barm	kvasnice
barm	kvások
barn	stodola
barn	stajňa
barn	vozovňa
barn	barak
barn	humno
barn	chliev
