saltate	vyskakovať
saltation	skákanie
saltation	poskakovanie
saltation	tanečný
saltation	tanec
saltation	skok
saltation	skočenie
saltation	mutácia
salted	nasolený
salted	solený
salter	soliar
salter	nasolovač
saltiness	slanosť
saltiness	korenitosť
saltiness	zemitosť
saltiness	horkosť
salting	solenie
salting	vysoľovanie
salting	vysoľovací
saltpetre	liadok
saltworks	solivar
salty	slaný
salty	nasolený
salty	solený
salubrious	priaznivý
salubrious	zdravý
salubriousness	zdravosť
salubrity	zdravosť
salutary	užitočný
salutary	blahodarný
salutary	priaznivý
salutation	pozdravenie
salutation	pozdrav
salutation	oslovenie
salutatory	vítací
salute	salutovanie
salute	pozdrav
salute	salva
salute	pozdraviť
salute	salutovať
salute	zdraviť
salvage	odmena
salvage	záchranný
salvage	zachrániť
salvage	zachraňovať
salvage	makulatúra
salvage	záchrana
salvage	obnoviť
salvage	odpad
salvation	spasenie
salvation	spasiteľ
salvation	záchrana
salvation	spása
salve	upokojiť
salve	upokojovať
salve	úplatok
salve	zachrániť
salver	tácňa
salver	podnos
salvia	šalvia
salvo	salva
salvo	výhrada
salvo	okrem
salvor	záchranca
samarium	samárium
same	rovnaký
same	totožný
same	identický
same	ekvivalentný
sameness	podrobnosť
sameness	jednotvárnosť
sameness	rovnakosť
sameness	totožnosť
samovar	samovar
sample	príklad
sample	ukážka
sample	vzorkovať
sample	snímať
sample	testovať
sample	vzor
sample	výber
sample	odoberať
sample	vzorka
sampler	kvalitár
sampler	vzorkovač
sampler	strobovač
sampling	snímanie
sampling	výberový
sampling	výfkový
sampling	vzorkovanie
samurai	samuraj
sanative	liečivý
sanatorium	ozdravovňa
sanatorium	sanatórium
sanctify	vysvätiť
sanctify	vysviacať
sanctify	posvätiť
sanctimonious	svätuškársky
sanctimonious	pokrytecký
sanctimoniousness	pokrytectvo
sanctimony	pokrytectvo
sanction	sankcia
sanction	sakcionovať
sanction	povolenie
sanction	trest
sanction	súhlas
sanction	schválenie
sanction	dovolenie
sanctitude	svätosť
sanctity	posvätnosť
sanctity	svätosť
sanctity	nezrušiteľnosť
sanctuary	útočište
sanctuary	sanktuár
sanctuary	svätostánok
sanctuary	útočisko
sanctuary	útulok
sanctuary	azyl
sanctuary	svätyňa
sanctum	svätyňa
sanctum sanctorum	veľsvätyna
sand	piesok
sand	piesočník
sand	pieskovač
sand	čistič
sand	formovanie
sand	sklený
sand	pieskový
sand	naplňací
sand	pieskovaný
sand	matniť
sand	vrhať
sand	zabrusovať
sand-blind	tupozraký
sandal	sandál
sandal	remienok
sandal	galoša
sandarac	sandarak
sandbagger	zlodej
sander	pieskovač
sander	brúska
sandiness	pieskovitosť
sands	pláž
sandstone	pieskovec
sandwich	sendvič
sandwich	vtlačiť
sandwich	vtláčať
sandwich	vložiť
sandwich	vrstviť
sandwich	vrstvený
sandwich	skladaný
sandwich	laminovať
sandy	ryšavý
sandy	piesočnatý
sandy	piesčitý
sane	normálny
sane	rozumný
sane	príčetný
sang	spievať
sang-froid	chladnokrvnosť
sanguinary	zakrvavený
sanguinary	krvilačný
sanguinary	krutý
sanguinary	krvavý
sanguine	veselý
sanguine	optimistický
sanguine	červený
sanguine	čarvenolíci
sanguineness	optimizmus
sanguineous	plnokrvný
sanies	hnis
sanious	hnisavý
sanitariness	zdravosť
sanitariness	hygienickosť
sanitarium	ozdravovňa
sanitary	sanitný
sanitary	zdravotný
sanitary	hygienický
sanitary	sanitárny
sanitary	zdravotnícky
sanitate	ozdravovať
sanitate	asanovať
sanitation	asanácia
sanitation	ozdravenie
sanitation	asanovanie
sanitation	asanačný
sanitation	zdravotný
sanitation	hygiena
sanitation	ozdravovanie
sanitation	sanitácia
sanitize	asanovať
sanitize	dezinfikovať
sanitize	vylepšiť
sanitize	prikrášliť
sanity	zdravosť
sanity	rozumnosť
sanity	logickosť
sanity	rozvážnosť
Sanskrit	sanskrt
Sanskrit	sanskrtský
