satin weave	saténové
satire	satira
satire	posmech
satire	výsmech
satiric	satirický
satirical	posmešný
satirical	výsmešný
satirical	uštipačný
satirical	jedovatý
satirical	satirický
satirist	satirik
satirize	satirizovať
satirize	zosmiešňovať
satisfaction	uspokojenie
satisfaction	zaplatenie
satisfaction	vyrovnanie
satisfaction	splatenie
satisfaction	spokojnosť
satisfaction	zadosťučinenie
satisfaction	satisfakcia
satisfaction	vyhovenie
satisfaction	uspokojovanie
satisfactoriness	uspokojivosť
satisfactoriness	dostatočnosť
satisfactoriness	primeranosť
satisfactory	zmierny
satisfactory	dostačujúci
satisfactory	postačujúci
satisfactory	prijateľný
satisfactory	uspokojivá
satisfactory	uspokojivé
satisfactory	vyhovujúci
satisfactory	uspokojivý
satisfactory	dostatočný
satisfactory	primeraný
satisfiable	odčiniteľný
satisfiable	ukojiteľný
satisfiable	utíšiteľný
satisfiable	odstrániteľný
satisfiable	uspokojiteľný
satisfiable	odškodniteľný
satisfied	spokojný
satisfy	ukojiť
satisfy	presviedčať
satisfy	ubezpečovať
satisfy	ukájať
satisfy	lahodiť
satisfy	nasýtiť
satisfy	utíšiť
satisfy	vyplniť
satisfy	odstrániť
satisfy	uistiť
satisfy	spĺňať
satisfy	vyhovovať
satisfy	zodpovedať
satisfy	odškodniť
satisfy	uhradiť
satisfy	uspokojiť
satisfy	vyhovieť
satisfy	splniť
satisfy	vybaviť
satisfy	zaplatiť
satisfy	presvedčiť
satrap	satrapa
satrap	miestokráľ
satrap	guvernér
satrap	vladár
satrap	despota
satrap	tyran
saturate	nasýtiť
saturate	saturovať
saturate	namočiť
saturate	namáčať
saturate	sýtiť
saturate	nasycovať
saturate	napúšťať
saturate	impregnovať
saturate	presýtiť
saturate	preniknúť
saturate	nasiaknuť
saturate	presiaknuť
saturate	nasýtený
saturate	presýtený
saturate	presiaknutý
saturate	nasiaknutý
saturate	sýty
saturate	zaplniť
saturated	nasýtený
saturated	impegnovaný
saturated	saturovaný
saturation	nasýtenie
saturation	saturácia
saturation	saturovanie
saturation	napúšťanie
saturation	napustenie
saturation	nasiaknutie
saturation	impregnovanie
saturation	impregnácia
saturation	presiaknutie
saturation	preniknutie
saturation	rozloženie
saturation	sústredenie
saturation	koncentrácia
saturation	nasýtenosť
saturation	nasýtený
saturation	sýtosť
saturation	saturačný
saturation	sýtostný
Saturday	sobota
saturnalia	saturnália
saturnalia	orgia
saturnine	zádumčivý
saturnine	morózny
saturnine	chmúrny
saturnine	zachmúrený
saturnine	zamračený
saturnine	temný
saturnine	tmavý
saturnine	čierny
saturnine	diabolský
saturnine	olovnatý
saturnism	saturnizmus
satyr	chlípnik
satyr	orangutan
satyriasis	satyriáza
satyric	satyrský
sauce	omáčka
sauce	okoreniť
saucepan	rajnica
saucepan	panva
saucepan	panvička
saucepan	kastrólik
saucepan	kastról
saucepot	hrniec
saucer	tanierik
saucer	miska
sauciness	drzosť
sauciness	hubatosť
saucy	prostoreký
saucy	bezočivý
saucy	drzý
saucy	hubatý
saucy	slušivý
saucy	hogofogo
sauna	sauna
saunter	ísť
saunter	chodiť
saunter	potĺkanie
saunter	prechádzka
saunter	chodenie
saunter	blúdiť
saunter	blúdiaci
saunterer	tulák
saurian	jašter
saurian	jašteričkovitý
saurian	jašterička
saurian	plaz
saurian	jašteričí
sausage	klobása
sausage	jaternica
sausage	saláma
sausage	salám
sausage	safalátka
sausage	párok
sausage	údenársky
sausage	údenina
sausage	zarobený
sausage dog	jazvečík
savage	divoch
savage	grobian
savage	nazlostený
savage	nasrdený
savage	divoký
savage	nezcivilizovaný
savage	nezdomácnený
savage	primitívny
savage	barbarský
savage	divošský
savage	neskrotený
savage	neskrotiteľný
savage	neotesaný
savage	nevycválaný
savage	hrubý
savage	sprostý
savage	zúrivý
savage	zarytý
savage	jedovatý
savage	ničivý
savage	prudký
savage	tvrdý
savage	brutálny
savage	beštiálny
savage	drsný
savage	rozorvaný
savage	rozoklaný
savage	zúriaci
savage	nahnevaný
savage	naštvaný
savage	primitív
savage	domorodec
