say	názor
say-so	uistenie
say-so	výrok
say-so	prehlásenie
say-so	tvrdenie
say-so	svedectvo
say-so	odporúčanie
say-so	právomoc
saying	fráza
saying	príslovie
saying	porekadlo
saying	aforizmus
scab	chrasta
scab	prašina
scab	strop
scab	oškvarok
scab	svrab
scab	prašivina
scab	prašivec
scab	krysa
scab	darebák
scab	od
scab	zaschnúť
scab	struska
scab	nárastok
scab	príložka
scab	štrajkokaz
scabbard	pošva
scabbard	puzdro
scabby	prašivý
scabby	odporný
scabby	ohavný
scabby	mizerný
scabies	svrab
scabies	prašivina
scabrous	drsný
scabrous	hrubý
scabrous	hrboľatý
scabrous	plesnivý
scabrous	prašivý
scabrous	odradzujúci
scabrous	odporný
scabrous	chúlostivý
scabrous	dvojzmyselný
scabrous	oplzlý
scabrous	nemravný
scads	hora
scads	halda
scads	fúra
scads	mince
scads	doláre
scaffold	lešenie
scaffold	popravisko
scaffold	šibenica
scaffold	stanovisko
scaffold	hľadisko
scaffold	javisko
scaffold	tribúna
scaffold	pódium
scaffold	konštrukcia
scaffold	skelet
scaffold	kostra
scaffold	senník
scaffold	sýpka
scaffold	usadenina
scaffold	vystužiť
scaffold	podšprajcovať
scaffold	lešeňový
scaffold	poprava
scaffolding	stanovisko
scaffolding	hľadisko
scaffolding	javisko
scaffolding	tribúna
scaffolding	pódium
scaffolding	kostra
scaffolding	výstuž
scaffolding	lešenie
scalable	stupňovateľný
scalar	skalárny
scalar	skalár
scalar	rebríčkovitý
scalar	diagonálny
scalawag	nedôchodča
scalawag	lump
scalawag	darebák
scalawag	uličník
scalawag	kolaborant
scald	obariť
scald	variť
scald	obarenie
scald	opariť
scald	vypariť
scald	vyvariť
scald	sterilizovať
scald	spáliť
scald	zapáliť
scald	popálenina
scald	obarenina
scald	zaparenie
scald	škvrnitosť
scald	fľakatosť
scald	sparenie
scald	obárať
scalding	horúci
scalding	pálčivý
scalding	sparenie
scalding	spárovanie
scalding	obáranie
scale	škála
scale	mierka
scale	zmenšiť
scale	zväčšiť
scale	rebríček
scale	vymeriavať
scale	vážiť
scale	lineár
scale	šupina
scale	šupinka
scale	šupka
scale	kôra
scale	povlak
scale	šupinatosť
scale	oškriabať
scale	olúpať
scale	vylúpať
scale	šupinatieť
scale	miska
scale	váha
scale	váženie
scale	veľkosť
scale	odstupňovanie
scale	sústava
scale	systém
scale	rebrík
scale	schodište
scale	cieľnik
scale	zliezť
scale	vyliezť
scale	vystúpiť
scale	odstupňovať
scale	prispôsobiť
scale	naladiť
scale	stupnica
scale	váhy
scale	diagram
scale	sadzba
scale	váhadlo
scale	kameň
scale	usadenina
scale	opal
scale	stupnicový
scale	črepinový
scale	číselníkový
scale	šupinový
scale	odhrdzovací
scale	rozmer
scale	otĺkať
scale	meradlo
scale	rozsah
scale	tarifa
scale down	znižovať
scale down	zmenšiť
scale down	znížiť
scale factor	mierka
scale up	zvyšovať
scale up	zväčšiť
scale up	zvýšiť
scale up	vystúpiť
scale up	vyletieť
scaled	šupinatý
scaled	oškriabaný
scaled	kalibrovaný
scaleless	hladký
scaleless	bezšupinatý
scalene	rôznostranný
scaler	reduktor
scaler	čítač
scaler	jednotka
scaliness	šupinatosť
scaling	odstraňovanie
scallion	cesnak
scallion	pór
scallop	lastúra
scallop	zúbkovanie
scallop	krúžkovanie
scallop	zapekať
scallop	piecť
scallop	krúžkovať
scallop	zúbkovať
scallop	lemovať
scallop	festón
scallop	vrúbkovať
scallywag	huncút
scallywag	lotor
scalp	skalp
scalp	chvost
scalp	skalpovať
scalp	zobrať
scalp	obrať
scalp	oholiť
