bastard	falošný
baste	podlievať
baste	stehovať
basting	stehovanie
basting	stehovací
bastion	bašta
bastion	hradba
bat	netopier
bat	stočka
bat	rana
bat	úder
batch	várka
batch	hromada
batch	skupina
batch	vsádzka
batch	šarža
batch	predzmes
batch	bič
batch	kmeň
batch	zámes
batch	grupa
batch	kmeniareň
batch	kopa
batch	koberec
batch	plnenie
batch	periodicky
batch	prerušovaný
batch	periodický
batch	náplňový
batch	neinterakčný
batch	tieskový
batch	vozíkový
batch	súčtový
batch	prerušený
batch	cyklický
batch	diskontinuitný
batch	dávkovací
batch	dávkový
batch	dávka
batch	séria
batch	dávkovať
bate	moridlo
bate	kúpeľ
bate	moriť
bath	kúpeľ
bath	kúpanie
bath	vaňa
bath	kúpeľový
bath	kúpací
bath	vaňový
bath	sklovina
bather	naháč
batholite	batolit
batholith	batolit
bathometer	hĺbkomer
bathometer	batometer
bathroom	kúpeľňa
bathroom	záchod
bathyal	batyálny
bathyal	hemipelagický
bathysphere	batysféra
batiste	batist
baton	pendrek
baton	taktovka
baton	palica
baton	obušok
batsman	pálkar
batsman	signalizátor
battalion	prápor
battalion	zástava
battalion	batalión
batten	brvno
batten	rebrovanie
batten	podbíjaný
batten	latkový
batten	latovať
batten	priraziť
batten	doska
batten	lata
batten	vystužiť
batter	tĺcť
batter	otlčený
batter	obnosený
batter	sklon
batter	nábeh
batter	profilový
batter	obaľovací
batter	vytyčovací
batter	opotrebovať
batter	cestíčko
battery	batéria
battery	akumulátor
battery	nabíjačka
battery	skupina
battery	článok
battery	batériový
battery	akumulátorový
battery	agregátový
batting	rúno
batting	stočka
battle	bitka
battle	boj
battle	zápas
battle	bojovať
battle dress	uniforma
battlefield	bojisko
battlement	cimburie
bauble	čačka
bauble	hračka
baud	baud
baud	baudový
baud	kódový
bawd	kupliarka
bawd	prostitútka
bawd	kupliar
bawdy	oplzlý
bawl	hulákať
bawl	revať
bawl	kričať
bay	záliv
bay	výklenok
bay	vavrín
bay	zátoka
bay	štekot
bay	panel
bay	stojan
bay	poschodie
bay	priehrada
bay	krídlo
bay	zastavaný
bay	hrádza
bayonet	bodák
bayonet	bajonet
bayonet	bodnúť
bazaar	bazár
bazooka	pancierovka
bazooka	tarasnica
be	byť
be	existovať
be	znamenať
be	stáť
be	ísť
be	mieriť
be-all and end-all	všeliek
be-all and end-all	podstata
beach	pláž
beach	pobrežie
beach	plážový
beachhead	predmostie
beacon	maják
beacon	návesť
beacon	signál
bead	korálka
bead	perla
bead	kvapka
bead	guľôčka
bead	muška
bead	obruba
bead	lem
bead	kapitálik
bead	zvarový
bead	perličkový
bead	lemovať
bead	zlý
bead	silno
bead	škodlivý
bead	nespravodlivý
bead	nekrytý
bead	nedobytný
bead	pochybný
beaded	zosilnený
beaded	spevnený
beaded	obrúbený
beading	lemovanie
beading	obťahovanie
beadle	kostolník
beak	zobák
beak	kadička
beak	kadičkový
beak	širokohrdlový
beak	skoba
beak	mys
beaker	pohárik
beam	trám
beam	brvno
beam	papršlek
beam	svetlo
beam	nosník
beam	žiariť
beam	klada
beam	palubník
beam	zväzok
beam	lúč
beam	návoj
beam	priečka
beam	krokva
beam	zväzkový
beam	vahadlový
beam	palubníkový
beam	ožarovací
