seraph	serafín
serene	pokojný
serene	jasný
serenity	jasnosť
serenity	pokoj
serf	otrok
serf	nevoľník
serge	serž
sergeant	strážmajster
sergeant	čatár
sergeant	seržant
serial	seriál
serial	román
serial	rádový
serial	poradový
serial	sériový
serial	súpravový
serial	radový
serial	následný
serial	postupný
serial	pokračujúci
serial	periodický
serial	seriálový
seriatim	oddelene
seriatim	jednotlivo
sericulture	hodvábnictvo
series	sériovo
series	rad
series	postupnosť
series	poradie
series	sled
series	sada
series	pokračovanie
series	skupina
series	oddiel
series	kategória
series	sériový
series	sériová
series	sériové
series	reťazový
series	predradný
series	série
series	séria
series	rada
serigraph	serigraf
serigraph	serigrafia
serine	serín
serious	skutočný
serious	pravý
serious	úprimný
serious	náročný
serious	opravdivý
serious	seriózny
serious	veľký
serious	podstatný
serious	nebezpečný
serious	kritický
serious	striedmy
serious	nenápadný
serious	zbožný
serious	nábožný
serious	vážna
serious	vážne
serious	vážny
serious	dôležitý
serious	značný
serious	závažný
serious	ťažký
seriously	vážne
seriously	ťažko
seriously	nebezpečne
seriousness	vážnosť
seriousness	opravdivosť
seriousness	náročnosť
seriousness	serióznosť
seriousness	dôležitosť
seriousness	podstatnosť
seriousness	náruživosť
seriousness	nenápadnosť
seriousness	kritickosť
seriousness	decentnosť
seriousness	závažnosť
seriousness	nebezpečnosť
sermon	kázeň
sermon	kázanie
sermon	homílie
serological	sérologický
serpent	had
serpentine	hadí
serpentine	točitý
serpentine	haditý
serpentine	kľukatý
serpentine	vlnovitý
serpentine	serpentín
serrate	zúbkovaný
serrated	zúbkovaný
serrated	zubovitý
serrated	zúbkovitý
serrated	ryhovaný
serrated	vrúbkovaný
serration	vrúbkovanie
serration	zúbkovanie
serried	stlačený
serried	tesný
serried	zovretý
serum	sérum
serum	srvátka
serum	krvný
servant	služobník
servant	pomocník
servant	slúžka
servant	zamestnanec
servant	sluha
serve	slúžiť
serve	servírovať
serve	obsluhovať
serve	zastávať
serve	obslúžiť
server	sluha
service	doporučenie
service	servírovanie
service	funkcia
service	zapojenie
service	podpora
service	láskavosť
service	úžitok
service	použitie
service	operácia
service	bohoslužba
service	poriadok
service	pokryť
service	jarabina
service	obsluhovať
service	ošetrovať
service	služba
service	údržba
service	rozvodnica
service	prevádzka
service	doprava
service	servis
service	trvanlivosť
service	výkon
service	prípojka
service	hospodárstvo
service	hlavný
service	vystrojený
service	nožný
service	užitočný
service	menovitý
service	prenášaný
service	pracovný
service	služobný
service	firemný
service	vojenský
service	domový
service	úrad
service	zamestnanie
service	doručovanie
service	predvolanie
service	obsluha
service	zdvorilosť
service	servisný
service	prevádzkový
service man	údržbár
service station	autoservis
serviceability	prevádzkyschopnosť
serviceability	použiteľnosť
serviceability	účelnosť
serviceable	použiteľný
serviceable	prevádzkyschopný
serviceable	výkonný
services	služby
servicing	obsluha
servicing	technický
servicing	údržbársky
servicing	údržba
servicing	servis
servile	servilný
servile	otrocký
servile	pokorný
servile	nevoľnícky
servile	poddaný
servile	bezduchý
servile	sluhovský
servile	pätolizačský
servility	prisluhovačstvo
servility	otroctvo
servility	nesamostatnosť
servility	nepôvodnosť
serving	obal
serving	obmurovka
servitude	otroctvo
servitude	nevoľníctvo
servo	servoriadenie
servo	vlečný
servo	posilňovač
servo	servomotor
servo	servomechanizmus
servo	sledovací
servomechanism	servomechanizmus
