sheepish	zabednený
sheepishness	ľakavosť
sheepishness	bojazlivosť
sheepishness	bojácnosť
sheepishness	úzkostlivosť
sheepishness	malomyseľnosť
sheepishness	strach
sheepishness	obavy
sheepishness	mäkkosť
sheepishness	bezmocnosť
sheepishness	hanblivosť
sheepishness	rozpaky
sheepishness	nemotornosť
sheepishness	neohrabanosť
sheepskin	dokument
sheepskin	diplom
sheepskin	pergamen
sheepskin	kožuch
sheepskin	baránok
sheepskin	pergamenový
sheepskin	ovčina
sheer	číry
sheer	úplný
sheer	príkro
sheer	strmo
sheer	odbočiť
sheer	púhy
sheer	absolútny
sheer	naprostý
sheer	hotový
sheer	vyložený
sheer	čistý
sheer	jemný
sheer	tenký
sheer	priesvitný
sheer	kolmý
sheer	strmý
sheer	príkry
sheer	úplne
sheer	celkom
sheer	priamo
sheer	rovno
sheer	obísť
sheer	odbočovať
sheer	odbiehať
sheer	odchýlka
sheer	úchylka
sheer	sedlovitosť
sheer	nárys
sheer	bokorys
sheer	zrázny
sheer	riedky
sheet	list
sheet	plachta
sheet	tabuľa
sheet	noviny
sheet	lano
sheet	plocha
sheet	kus
sheet	prestieradlo
sheet	rubáš
sheet	pokrývka
sheet	povlak
sheet	poťah
sheet	papier
sheet	mapa
sheet	plát
sheet	doska
sheet	brožúra
sheet	brožúrka
sheet	plátok
sheet	balíček
sheet	stena
sheet	pruh
sheet	pás
sheet	plást
sheet	tabuľka
sheet	plech
sheet	príkrov
sheet	žila
sheet	prikryť
sheet	pokryť
sheet	zahaliť
sheet	obkladať
sheet	obíjať
sheet	oplechovať
sheet	šalovať
sheet	plátovať
sheet	pokrývať
sheet	obšívať
sheet	vyvalcovať
sheet	fólia
sheet	pokrov
sheet	páska
sheet	vrstva
sheet	sito
sheet	platňa
sheet	zoznam
sheet	prehľad
sheet	štetovnicový
sheet	plošný
sheet	tabuľový
sheet	plochý
sheet	valcovať
sheet	listina
sheet	hárok
sheet	formulár
sheeting	plachtovina
sheeting	povlak
sheeting	damašek
sheeting	materiál
sheeting	bednenie
sheeting	šalovanie
sheeting	oplechovanie
sheeting	obíjanie
sheeting	paženie
sheeting	debnenie
sheeting	valcovanie
sheikh	šejk
sheikh	nápadník
sheikh	sekáč
shelf	regál
shelf	výstupok
shelf	priehradka
shelf	polička
shelf	plytčina
shelf	piesčina
shelf	podpera
shelf	stojan
shelf	skladovanie
shelf	spracovateľnosť
shelf	polica
shelf	šelf
shelf	skladovací
shelf	policový
shelf	útesový
shelf	poličkový
shelf	odkladať
shell	vylúpnuť
shell	schránka
shell	lastúra
shell	ulita
shell	mušľa
shell	šupina
shell	perleť
shell	korytnačkovina
shell	škrupinka
shell	kukla
shell	krovka
shell	kabát
shell	šupka
shell	puzdro
shell	obal
shell	skriňa
shell	trubička
shell	rakvička
shell	obloženie
shell	šrapnel
shell	nábojnica
shell	patrón
shell	svetlica
shell	kostra
shell	nárys
shell	osnova
shell	matrica
shell	pokovenie
shell	lýra
shell	vylupovať
shell	lúpať
shell	vypadávať
shell	pukať
shell	praskať
shell	ostreľovať
shell	bombardovať
shell	strela
shell	lusk
shell	shell
shell	plášť
shell	struk
shell	škrupina
shell	kryt
shell	tvarovanie
shell	obšívka
shell	vložka
shell	nástrčný
shell	vrstvový
shell	škrupinový
shell	výpažnicový
shell	valcový
shell	plášťový
shell out	vyplácať
shellac	šelak
shellac	zmydliť
shellac	šelakový
sheller	lúpačka
shellfish	mäkkýš
shelling	lúpanie
shelling	lúštenie
shelter	útočište
shelter	chrániť
