siesta	odpočinok
sieve	posúvačový
sieve	sito
sieve	deravý
sieve	riečica
sieve	sitko
sieve	prehadzovačka
sieve	presievať
sieve	prepasírovať
sieve	pasírovať
sieve	prebrať
sieve	prešetriť
sieve	prekádrovať
sieve	roztriediť
sieve	rešeto
sieve	cedidlo
sieve	striasací
sieve	sieťový
sieve	preosievací
sieve	nedelný
sieve	preosievať
sift	presiať
sift	preosiať
sift	nasypať
sift	preskúmať
sift	vytriediť
sift	vysypať
sift	posypať
sift	prebrať
sift	prešetriť
sift	preveriť
sift	prekádrovať
sift	roztriediť
sift	oddeliť
sift	rozlišovať
sift	pátrať
sift	presievanie
sift	prepadanie
sift	triediť
sift	preosievať
sift	preverovať
sifter	sitko
sifter	presievač
sifter	násypník
sifter	filter
sifter	sito
sifter	vysievač
sifter	osievací
sifting	vyberanie
sifting	osievanie
sifting	preosievanie
sigh	vzdych
sigh	vzdychať
sigh	zavzdychať
sigh	zatúžiť
sigh	túžiť
sigh	nariekať
sight	pohľad
sight	dohľad
sight	náhľad
sight	hľadisko
sight	uvidieť
sight	sledovať
sight	spozorovať
sight	pozorovať
sight	zbadať
sight	zrak
sight	zazrieť
sight	zacielenie
sight	zamerať
sight	zacieliť
sight	uzretie
sight	uvidenie
sight	oko
sight	oči
sight	nahliadnutie
sight	názor
sight	pozoruhodnosť
sight	strašidlo
sight	muška
sight	hľadáčik
sight	zameriavač
sight	priezorník
sight	priezor
sight	zameranie
sight	zamierenie
sight	predloženie
sight	more
sight	halda
sight	okno
sight	šanca
sight	zameriavanie
sight	monument
sight	pamätihodnosť
sight	pamiatka
sight	splatný
sight	pozorovací
sight	zámerný
sight	videnie
sighting	pozorovanie
sighting	zastreľovací
sightless	slepý
sightly	úhľadný
sightly	pohľadný
sightly	vzhľadný
sightseeing	okružný
sightseeing	vyhliadkový
sightseer	výletník
sigma	sigma
sign	znak
sign	značka
sign	dôkaz
sign	náznak
sign	gesto
sign	heslo
sign	podpisovať
sign	naznačovať
sign	tabuľa
sign	príznak
sign	posunok
sign	pokyn
sign	signál
sign	stopa
sign	odznak
sign	plavidlo
sign	reklama
sign	tabuľka
sign	štítok
sign	výveska
sign	div
sign	zázrak
sign	posuvka
sign	signo
sign	jav
sign	reflex
sign	erb
sign	vlajka
sign	štandarda
sign	pamiatka
sign	znamienko
sign	symbol
sign	znamienkový
sign	podpísať
sign	schváliť
sign	signalizovať
sign	prihlásiť
sign	značkovať
sign	firma
sign	označenie
sign	podpis
sign	parafovať
sign	znamenie
sign	známka
sign away	prepísať
sign over	prijať
sign over	prepísať
signal	značiť
signal	označiť
signal	význačný
signal	znamenitý
signal	návestie
signal	podnet
signal	popud
signal	návestidlo
signal	semafor
signal	vynikajúci
signal	mimoriadny
signal	pozoruhodný
signal	povážlivý
signal	návestný
signal	rozlišovací
signal	signál
signal	návesť
signal	pokyn
signal	signálový
signal	signály
signal	stavadlový
signal	lodný
signal	znamenie
signal	telegram
signal	telefonát
signal	fonogram
signal	signalizovať
signal	signalizačný
signal	signálny
signal box	stavidlo
signalise	vyznačiť
signalise	vyznačovať
signalise	signalizovať
signalise	hlásiť
signalise	označiť
signalise	vyzdvihnúť
signalise	podtrhnúť
signalise	osláviť
signalise	upozorniť
signalize	signalizovať
signalize	vysielať
signaller	signalista
signaller	spojka
signally	nápadne
