signalman	hradlár
signatory	signatár
signatory	zmluvný
signature	podpis
signature	označenie
signature	podpísanie
signature	iniciálky
signature	šifra
signature	takt
signature	predznamenanie
signature	signatúra
signature	znak
signature tune	znelka
signed	zovšeobecnený
signed	podpísaná
signed	podpísané
signed	podpísaný
signet	pečať
significance	dôležitosť
significance	hodnota
significance	výraznosť
significance	význam
significance	zmysel
significance	váha
significance	významnosť
significant	významný
significant	význačný
significant	mnohoznačný
significant	významový
significant	významotvorný
significant	symbol
significant	platný
significant	závažný
significant	podstatný
significant	dôležitý
signification	označenie
signification	zmysel
signification	dôležitosť
signification	významnosť
signification	oznámenie
signification	doručenie
signification	význam
signify	prejaviť
signify	naznačiť
signify	označiť
signify	ohlásiť
signify	oznámiť
signify	deklarovať
signify	znamenať
signify	značiť
signify	naznačovať
signpost	ukazovať
signpost	naznačovať
signpost	ukazovateľ
silage	silážovanie
silage	siláž
sild	sleď
silence	umlčať
silence	uspokojiť
silence	pomlčanie
silence	odmlčanie
silence	odmlka
silence	mlčanlivosť
silence	nehlučnosť
silence	smrť
silence	pomlčka
silence	pauza
silence	utíšiť
silence	potlačiť
silence	stlmiť
silence	tlmiť
silence	odhlučniť
silence	zmĺknuť
silence	odrovnať
silence	mlčanie
silence	ticho
silencer	tlmič
silent	pokojný
silent	mlčiaci
silent	mlčanlivý
silent	zamĺkly
silent	nehovoriaci
silent	rezervovaný
silent	nevyslovený
silent	nepočuteľný
silent	nečinný
silent	spiaci
silent	latentný
silent	kľudný
silent	kľudná
silent	kľudné
silent	tichá
silent	tiché
silent	ticho
silent	nehlučný
silent	zubový
silent	tichý
silent	nemý
silently	mlčky
silex	pazúrik
silhouette	silueta
silhouette	načrtnutý
silhouette	načrtnutá
silhouette	načrtnuté
silhouette	nezvýraznený
silhouette	nezvýraznená
silhouette	nezvýraznené
silhouette	tieňový
silhouette	tieňová
silhouette	tieňové
silica	kremeň
silica	silika
silica	silikátový
silica gel	silikagel
silicate	silikát
silicate	kremičitan
silicate	silikátový
siliceous	kremenný
siliceous	kremičitý
siliceous	kremitý
silicide	silicid
silicide	silicidový
silicon	silikón
silicon	kremík
silicon	kremíkový
silicon	karborundový
silicon	kremičitý
silicone	silikón
silicone	silikónový
silicosis	silikóza
silk	hodváb
silk	padák
silk	vlákna
silk cotton	kapok
silken	hodvábny
silken	mäkký
silken	jemný
silken	lesklý
silken	nežný
silken	milý
silken	upokojujúci
silken	sladký
silken	lichotný
silken	medový
silken	zmäkčilý
silken	zženštilý
silken	luxusný
silkiness	hodvábnosť
silkiness	lesklosť
silkiness	jemnosť
silkiness	nežnosť
silkiness	hladkosť
silkiness	sladkosť
silkiness	lichotivosť
silkiness	medovosť
silkworm	hodvábnik
silky	jemný
silky	lesklý
silky	mäkký
silky	nežný
silky	milý
silky	hladký
silky	sladký
silky	lichotný
silky	medový
silky	hodvábny
silky	zamatový
sill	prah
sill	podval
sill	parapetný
silliness	nezmyselnosť
silliness	hlúposť
silliness	omráčenosť
silliness	nevinnosť
silliness	prostota
silliness	slabosť
silliness	bezbrannosť
silliness	krehkosť
silliness	bezvýznamnosť
silly	hlúpy
silly	pochabý
silly	hlupáčik
silly	nezmyselný
silly	zbytočný
silly	omráčený
silly	slabý
silly	bezbranný
silly	krehký
silly	bezvýznamný
silly	trúba
silly	chumajský
silly	chumajská
silly	chumajské
silo	silo
silo	silážny
silo	silážovať
siloxane	siloxán
silt	naplavenina
silt	bahno
silt	nános
