singer	ospevovač
singing	spievajúci
singing	spievajúca
singing	spievajúce
singing	zaznievanie
single	jednoduchý
single	jednodielny
single	čestný
single	otvorený
single	jedinečný
single	oddelený
single	nezávislý
single	vlastný
single	osobný
single	prístupný
single	jednoobalný
single	slabý
single	jednotlivec
single	dvojhra
single	menovať
single	rozdeliť
single	jednotiť
single	jednotlivá
single	jednotlivé
single	jednoduchá
single	jednoduché
single	slobodná
single	slobodné
single	jednoducho
single	jeden
single	jediný
single	samostatný
single	jednotlivý
single	jednotný
single	slobodný
single combat	súboj
single quote	apostrof
single-handed	sám
single-handed	jednoruký
single-handed	jednoručný
single-handed	jednotlivý
single-handed	vlastnoručný
single-handed	vlastnoručná
single-handed	vlastnoručné
singleness	jedinosť
singleness	singularita
singleness	jedinečnosť
singleness	ojedinelosť
singleness	osamelosť
singleness	osamotenosť
singleness	opustenosť
singleness	úprimnosť
singleness	zaujatosť
singleness	sústredenosť
singlet	singletný
singly	jednotlivo
singly	samostatne
singsong	monotónny
singular	mimoriadny
singular	výnimočný
singular	zvláštny
singular	neobyčajný
singular	individuálny
singular	význačný
singular	vynikajúci
singular	ojedinelý
singular	vzácny
singular	prekvapivý
singular	bezpríkladný
singular	odlišný
singular	jednotný
singular	singulárny
singular	jedinec
singular	jednotlivec
singular	indivíduum
singular	singulár
singular	výstredný
singular	pozoruhodný
singular	každý
singular	jednotlivý
singular	jedinečný
singularity	zvláštnosť
singularity	odlišnosť
singularity	jedinečnosť
singularity	individuálnosť
singularize	odlišovať
singularize	oddeľovať
singularize	osamostatňovať
sinister	zlovestný
sinister	hrozivý
sinister	temný
sinister	pochmúrny
sinister	podozrivý
sinister	divný
sinister	zhubný
sinister	skazonosný
sinister	neblahý
sinister	zlý
sinister	škodlivý
sinister	neprajúci
sinister	nepriaznivý
sinister	nevýhodný
sinister	ľavý
sinister	nepoctivý
sinister	nečestný
sinister	nekalý
sink	klesať
sink	výlevka
sink	padnúť
sink	zatajiť
sink	tajiť
sink	znižovať
sink	potlačiť
sink	potláčať
sink	klesnúť
sink	poklesnúť
sink	tonúť
sink	opadávať
sink	zapadnúť
sink	zabŕdnuť
sink	zapadať
sink	zmiznúť
sink	miznúť
sink	vyvŕtať
sink	vytesať
sink	vysekať
sink	zapustiť
sink	vniknúť
sink	vsiaknuť
sink	vstrebať
sink	presakovať
sink	vraziť
sink	pohrúžiť
sink	povoliť
sink	umierať
sink	upadať
sink	slabnúť
sink	zanikať
sink	spustiť
sink	položiť
sink	zložiť
sink	zamlčať
sink	zaprieť
sink	poprieť
sink	premôcť
sink	poraziť
sink	skrušiť
sink	zničiť
sink	zdolať
sink	investovať
sink	zaplatiť
sink	splatiť
sink	likvidovať
sink	ignorovať
sink	zabudnúť
sink	opustiť
sink	vypiť
sink	vytiahnuť
sink	pobiť
sink	odpísať
sink	odrovnať
sink	žumpa
sink	kanál
sink	brloh
sink	parenisko
sink	semenisko
sink	spodina
sink	ponor
sink	dolina
sink	závrt
sink	priehlbina
sink	zrážač
sink	kondenzátor
sink	jazierko
sink	močiar
sink	prepad
sink	prepadlisko
sink	odvádzač
sink	vtiahnitina
sink	ponárať
sink	sadať
sink	zaťahovať
sink	zapúšťať
sink	vyhĺbiť
sink	vtláčať
sink	ponoriť
sinker	olovko
sinker	závažie
sinker	hĺbič
sinker	platina
sinker	vrátenka
sinker	platinový
sinking	sadanie
sinking	klesanie
sinking	ponáranie
sinking	spúšťaný
sinking	zaťahovací
sinking	umorovací
sinking	klesajúci
sinner	hriešnik
