sinner	hriešnica
sinter	aglomerát
sinter	slinok
sinter	sintrový
sinter	aglomeračný
sinter	sintrovať
sintered	spekaný
sintered	sintrovaný
sintered	slinutý
sintered	aglomerovaný
sinuous	točitý
sinuous	haditý
sinuous	kľukatý
sinuous	krivolaký
sinuous	vlnivý
sinuous	vlnitý
sinuous	pokrivený
sinuous	krivý
sinuous	vykrojený
sinuous	sínusovitý
sinuous	meandrujúci
sinus	dutina
sinus	záhyb
sinus	splav
sinus	sínus
sinus	píšťala
sinus	výkrojok
sinus	záliv
sinus	zátoka
sinusoid	sínusoida
sinusoid	sínusovka
sinusoidal	sínusový
sip	sŕkať
sip	popíjať
sip	glg
sip	dúšok
siphon	násoska
siphon	sifón
siphon	stočiť
siphon	stáčať
siphon	kanálik
siphon	trubica
siphon	sosák
siphon	vypúšťať
siphon	vyprázdňovať
siphon	sťahovať
siphon	vyprázdniť
siphon	násoskový
siphon	knôtový
sipper	slamka
Sir	pán
Sir	pane
sir	pane
sire	splodiť
sire	otec
sire	predok
siren	siréna
sirloin	sviečkovica
sister	sestra
sister	mníška
sister	sesterský
sister	švagrová
sister	ošetrovateľ
sister	dvojitý
sister-in-law	švagriná
sisterhood	sesterstvo
sisterhood	skupina
sit	bývať
sit	stáť
sit	padnúť
sit	jednať
sit	smerovať
sit	vanúť
sit	duť
sit	spočívať
sit	svedčať
sit	posudzovať
sit	prejednávať
sit	vyšetrovať
sit	usadiť
sit	vydržať
sit	vypočuť
sit	poslúchať
sit	študovať
sit	vartovať
sit	sedenie
sit	sedieť
sit	zasadať
sit down	pristáť
sit down	zotrieť
sit in	vartovať
sit in	zastupovať
sit out	ostať
sit out	zostať
sit up	pozdvihnúť
sit up	spozornieť
sit up	čumieť
sit-down	posadenie
site	poloha
site	stavenisko
site	dejisko
site	nálezisko
site	sídlo
site	stanovisko
site	umiestniť
site	ležať
site	stanovište
site	umiestnenie
site	bonitný
site	porastový
site	parcela
site	priestranstvo
site	miesto
sitter	model
sitter	zásah
sitter	tutovka
sitter	hračka
sitting	sedenie
sitting	podsyp
sitting	podsada
sitting	posedenie
sitting	hniezdo
sitting	miesto
sitting	sedadlo
sitting	výkonný
sitting	úradujúci
sitting	aktívny
sitting	tutovkový
sitting	zasadanie
situate	umiestnený
situate	lokalizovaný
situate	situovaný
situate	situovať
situate	lokalizovať
situate	umiestniť
situated	položený
situated	umiestený
situation	zamestnanie
situation	poloha
situation	miesto
situation	pomery
situation	okolnosti
situation	práca
situation	umiestnenie
situation	situácia
situation	pozícia
situation	postavenie
situation	stav
six	šesť
six	šestorka
six	šesťfázový
six	šesťvalcový
six	šesťprameňový
six	šesťvretenový
six	šesťmiestny
six	šesťčlenný
sixfold	šesťnásobný
sixfold	šesťnásobne
sixteen	šestnásť
sixteen	šesťnástorka
sixteen	šesťnásť
sixteenth	šestnásty
sixth	šiesty
sixth	šestina
sixth	sexta
sixtieth	šesťdesiaty
sixtieth	šesťdesiatina
sixty	šesťdesiat
sixty	šesťdesiatka
size	číslo
size	poleva
size	zadeliť
size	zaradiť
size	glej
size	glejidlo
size	lepidlo
size	škrob
size	mazivo
size	apretúra
size	glejiť
size	tužiť
size	škrobiť
size	hrúbka
size	prídel
size	diel
size	roztriediť
size	rozdeľovať
size	kalibrovať
size	kapacita
size	trieda
size	veličina
size	triediť
size	šlichta
size	frekvenčný
size	glejací
size	hrúbkový
size	glejový
size	rozmerový
size	šlichtovací
size	lepiť
