belly	bok
belong	patriť
belong	náležať
belong	prislúchať
belong	prináležať
belong	vlastniť
belong to	patriť
belonging	náležiaci
belonging	prináležiaci
belonging	súčasť
belonging	náležitosť
belonging	vlastníctvo
belonging	príslušenstvo
belongings	príslušenstvo
belongings	vlastníctvo
belongings	držba
beloved	milovaný
beloved	milá
beloved	milý
beloved	milenec
beloved	miláčik
beloved	drahý
below	dole
below	nižšie
below	dolu
below	poniže
below	ďalej
below	nižší
belt	pás
belt	opasok
belt	remeň
belt	pások
belt	pásmo
belt	oblasť
belt	remeňový
belt	obvodový
belt	pásový
belting	remeňový
belting	výprask
belting	remeň
bemoan	oplakávať
bemoan	želieť
bemuse	omráčiť
bemuse	omámiť
bemuse	zmiasť
bench	lavica
bench	lavička
bench	hoblica
bench	súd
bench	stolica
bench	banket
bench	plošina
bench	terasový
bench	kopytársky
bench	clonový
bench	rysovací
benchmark	normál
benchmark	kritérium
benchmark	meradlo
benchmark	štandard
bend	obrátiť
bend	zákruta
bend	ohyb
bend	otočiť
bend	koleno
bend	ohnúť
bend	skrut
bend	skrútenie
bend	zakriviť
bend	závit
bend	oblúk
bend	ohnutý
bend	ohýbací
bend	ručný
bend	ohýbať
bend	zahnúť
bend	zahýbať
bender	ohýbač
bender	ohýbačka
bending	ohyb
bending	zakrivenie
bending	ohýbanie
bending	prehnutie
bending	rolovanie
bending	ohýbací
bending	zakružovací
bending	prehýbajúci
bends	ohyb
bends	oblúk
bends	zákruta
beneath	dole
Benedictine	benediktíni
benediction	požehnanie
benediction	dobrodenie
benefaction	dobrodenie
benefaction	dobročinnosť
benefaction	nadácia
benefaction	dar
benefactor	dobrodinec
benefactor	donátor
benefactor	poručiteľ
benefice	výhoda
benefice	privilégium
beneficence	dobročinnosť
beneficent	dobročinný
beneficial	priaznivý
beneficial	užitočný
beneficial	blahodarný
beneficial	prospešný
beneficiary	príjemca
beneficiary	užívateľ
beneficiary	správca
beneficiary	oprávnený
beneficiary	obdarovaný
beneficiate	zušľachťovať
beneficiation	obohatenie
beneficiation	obohacovanie
benefit	podpora
benefit	dobrodenie
benefit	benefícia
benefit	dobročinnosť
benefit	osoh
benefit	prospech
benefit	úžitok
benefit	výhoda
benefit	dávka
benefit	príspevok
benefit	náhrada
benefit	zisk
benefit	výťažok
benefit	plody
benefit	výnos
benefit	privilégium
benevolence	láskavosť
benevolence	dobročinnosť
benevolence	blahovôľa
benevolence	benevolencia
benevolence	priazeň
benevolence	zhovievavosť
benevolence	dobrodenie
benevolent	dobrotivý
benevolent	benevolentný
benevolent	filantropický
benevolent	ľudský
Bengal	bengálsky
benign	vľúdny
benign	láskavý
benign	mierny
benign	benigný
bent	ohnutý
bent	náchylný
bent	ohnutá
bent	ohnuté
bent	pozohýbaný
bent	náklonnosť
bent	sklon
bent	záľuba
bent	nadanie
bent	nezákonný
bent	skorumpovaný
bent	ukradnutý
benthonic	bentózny
benthonic	bentický
bentonite	bentonit
benumb	skrehnúť
benzene	benzénový
benzene	benzén
benzine	benzínový
benzoate	benzoan
benzol	benzén
benzol	benzolový
benzoquinone	benzochinón
benzyl	benzyl
benzyl	benzylový
bequeath	odovzdať
bequeath	odkázať
bequest	odkaz
bequest	dedičstvo
berate	nadávať
berate	hrešiť
bereave	olúpiť
bereave	vziať
bereaved	pozostalý
bereft	olúpená
bereft	olúpené
bereft	olúpený
beret	baretka
beret	baret
berkelium	berkélium
Berlin	berlínska
Berlin	berlínske
Berlin	berlínsky
berm	lavička
berry	bobuľa
berry	zrnko
berry	bobuľovina
berry	bobuľovitý
berry	ikra
berry	usadlosť
berry	svätyňa
