solstice	slnovrat
solubility	rozpustnosť
soluble	rozpustný
soluble	vysvetliteľný
soluble	rozpustený
soluble	emulzný
solution	roztok
solution	rozpúšťanie
solution	rozpustenie
solution	solúcia
solution	riešenie
solution	rozpúšťací
solvability	riešiteľnosť
solvable	riešiteľný
solvable	solventný
solvate	solvát
solvation	solvatácia
solve	riešiť
solve	rozriešiť
solve	vyriešiť
solvency	solventnosť
solvency	stav
solvent	solventný
solvent	rozpúšťací
solvent	solventná
solvent	solventné
solvent	rozpúšťanie
solvent	roztok
solvent	rozpúšťajúci
solvent	selekčný
solvent	rozpúšťadlový
solvent	rozpúšťadlo
solving	riešenie
sombre	ponurý
sombre	pochmúrny
sombre	tmavý
sombre	nejasný
sombre	neurčitý
sombre	temný
sombre	tmavé
sombre	nejasná
sombre	nejasné
sombre	neurčitá
sombre	neurčité
sombre	temná
sombre	temné
sombre	tmavá
some	nejaký
some	niektorý
some	jeden
some	niečo
some	dačo
some	istý
some	isté
some	niekoľko
some	poriadny
some	asi
some	nejaké
some	akýsi
some	akási
some	nejaká
somebody	niekto
somehow	nejako
somehow	akosi
somehow	dajako
someone	niekto
somersault	kotrmelec
something	niečo
something	voľačo
something	okolo
something	asi
something	veličina
sometime	niekedy
sometime	raz
sometime	bývalý
sometime	niekdajší
sometimes	niekedy
sometimes	občas
sometimes	zavše
somewhere	niekde
somewhere	niekam
somnambulism	námesačnosť
somniferous	uspávací
somnolence	ospanlivosť
somnolence	ospalosť
son	syn
son-in-law	zať
sonar	sonár
song	pieseň
song	spev
song	poézia
song	spievanie
song	pesnička
song	hukot
songster	spevák
songster	básnik
songster	pesničkár
sonic	zvukový
sonic	zvučiaci
sonic	akustický
sonic	ultrazvukový
sonny	synáčik
sonny	synček
sonometer	sonometer
sonorous	zvučný
sonorous	plný
sonorous	znelý
soon	skoro
soon	čoskoro
soon	zavčasu
soon	rád
soon	zanedlho
soon	zakrátko
soon	hneď
soon	krátko
soon	nedlho
soon	okamžite
soon	ihneď
soon	skôr
soon	onedlho
sooner	skôr
sooner	skoršie
sooner	radšej
sooner or later	raz
soonest	najskôr
soot	sadza
soot	začadiť
soot	sadzba
soot	sadzbový
soothe	upokojiť
soothe	čičíkať
soothe	utíšiť
soothe	zmierňovať
soothe	utešiť
soothe	utešovať
soothsayer	veštec
soothsayer	prorok
sooty	začadený
sooty	čierny
sop	dar
sop	úplatok
sophisticated	rafinovaný
sophisticated	komplikovaný
sophisticated	neprirodzený
sophisticated	chytrácky
sophisticated	skazený
sophisticated	svetácky
sophisticated	dokonalý
sophisticated	dômyselný
sophisticated	premyslený
sophisticated	prepracovaný
sophistication	falšovanie
soporific	uspávací
soporific	uspávadlo
sopping	premočený
sopping	mokrý
soppy	uplakaný
soppy	premoknutý
soppy	precitlivený
soppy	sentimentálny
sorbate	sorbát
sorcerer	čarodejník
sorcerer	strigôň
sordid	lakomý
sordid	odporný
sordid	podlý
sordid	nízky
sordid	biedny
sordid	úbohý
sordid	zašpinený
sordid	nečistý
sordid	nečestný
sordid	nekalý
sordid	špinavý
sordid	podvodnícky
sore	boľavý
sore	boľačka
sore	mrzutosť
sore	smutný
sore	mrzutý
sore	veľký
sore	naliehavý
sore	vred
sore	citlivý
sore	zhnisaný
sore	zanietený
sore	zapálený
sore	odretý
sore	otlčený
sore	ťažký
sore	chúlostivý
sore	rozbolený
sore	roztrpčený
sore	rozladený
sore	naštvaný
sorely	veľmi
sorely	ťažko
sorely	kruto
sorption	sorpcia
sorrel	pejko
