sparingly	úsporne
spark	iskra
spark	iskriť
spark	iskrový
spark	preskokový
sparkle	iskriť
sparkle	sršať
sparkle	šumieť
sparkle	záblesk
sparkle	iskrenie
sparkling	sršanie
sparkling	saturovaný
sparkling	šumivý
sparrow	vrabec
sparse	riedky
sparse	roztrúsený
sparsely	riedko
spasm	kŕč
spasm	záchvat
spasmodic	kŕčovitý
spasmodic	nepravidelný
spat	škriepka
spat	ťapnutie
spat	hašterenie
spat	plul
spat	plutý
spate	záplava
spatial	priestorový
spatial	geometrický
spatial	územný
spatter	čľapot
spatter	spŕška
spatter	čľapkať
spatter	čľapotať
spatter	zafŕkať
spatter	ostriekať
spatter	postrek
spatter	rozstrek
spatter	rozstrekovať
spatter	striekať
spattering	striekanie
spattering	rozstriekaný
spatula	lopatka
spatula	roztierka
spatula	stierač
spatula	stierka
spatula	škrabka
spatula	špachtľa
spatula	špachtlička
spawn	ikra
spawn	podhubie
spawn	iskra
spawn	mycélium
spawner	ikernačka
spawner	ikráč
speak	hovoriť
speak	rozprávať
speak	rečniť
speak	vyjadrovať
speak	vyslovovať
speak	prehovoriť
speak	povedať
speak	vykríknuť
speak	kričať
speak	žiadať
speak	požiadať
speak	prednášať
speak	kázať
speak	vedieť
speak	doviesť
speak	recitovať
speak	zaznieť
speak	zaspievať
speak	nahovoriť
speak	ozvať
speak	svedčiť
speak	dosvedčovať
speak	vytknúť
speak	potvrdiť
speak	dosvedčiť
speak	pozdraviť
speak	zmieniť
speak	osloviť
speaker	rečník
speaker	zástupca
speaker	tlmočník
speaker	reproduktor
speaker	hlásateľ
speaker	hovorca
speaking	hovorenie
speaking	rozprávanie
speaking	hovoriaci
spear	oštep
spear	kopija
spear	prebodnúť
spear	bodnúť
special	špeciálny
special	odborný
special	zvláštny
special	mimoriadny
special	abnormálny
special	obyčajný
special	jedinečný
special	výborný
special	zaujímajúci
special	dôverný
special	osobný
special	podrobný
special	detailný
special	špecifický
special	odborná
special	odborné
special	špeciálna
special	špeciálne
special	zvláštná
special	zvláštné
special	mimoriadna
special	mimoriadne
special	zrýchlený
special	zrýchlená
special	zrýchlené
special	zliatinový
special	združený
special	neobvyklý
special	osobitný
special	zvyčajný
specialise	vymedziť
specialise	vymedzovať
specialism	špecializácia
specialism	špecializovanie
specialist	odborník
specialist	špecialista
specialistic	odborný
specialistic	špecializovaný
specialistic	odborná
specialistic	odborné
specialistic	špecializovaná
specialistic	špecializované
speciality	novinka
speciality	špecialita
specialization	špecializácia
specialization	odbor
specialize	špecializovať
specialize	špecifikovať
specialness	zvláštnosť
specialty	špecialita
specialty	osobitosť
species	odroda
species	forma
species	tvar
specific	špeciálny
specific	druhový
specific	zvláštna
specific	zvláštne
specific	špecifičnosť
specific	zvláštnosť
specific	definitívna
specific	definitívne
specific	druhová
specific	druhové
specific	charakteristická
specific	charakteristické
specific	presná
specific	presné
specific	svojrázna
specific	svojrázne
specific	špecifická
specific	špecifické
specific	určitá
specific	určité
specific	výslovná
specific	výslovné
specific	špecifikácia
specific	merný
specific	svojrázny
specific	spotrebný
specific	daný
specific	relatívny
specific	pomerný
specific	špecifický
specific	konkrétny
specific	charakteristický
specific	určitý
specific	explicitný
specific	zvláštny
specific	presný
specific	definitívny
specific	absolútny
specific	výslovný
specific	špecifikovaný
specific	singulárny
specifically	špecifický
specifically	výslovne
specifically	konkrétne
specification	špecifikácia
specification	roztriedenie
specification	rozčlenenie
specification	rozpis
specification	norma
specification	určenie
