biconvex	bikonvexný
bicycle	bicykel
bicycle	bicyklový
bicyclic	bicyklický
bid	vydražiť
bid	ponuka
bid	ponúknuť
bid	dražiť
bid	rozkázať
bid	vyzývať
bid	vyzvať
bid	ponúkaná
bid	ponúkaný
bid	ponúkané
bid	návrh
bid	podávať
bid	žiadať
bid	podanie
bid	akceptácia
bid	ponúkať
bid	nariadiť
bid	prikázať
bidder	dražiteľ
bidder	ponúkač
bidder	ponúkajúci
bidder	akceptant
bidirectional	obojsmerný
bidirectional	dvojsmerný
bidirectional	obojstranný
bidirectional	reverzibilný
bidirectional	reverzačný
biennial	dvojročný
bier	máry
bier	katafalk
bifilar	dvojžilový
bifilar	dvojvláknový
bifurcate	rozdvojiť
bifurcate	rozdeliť
bifurcate	rozdvojený
bifurcated	rozvetvený
bifurcated	rozdvojený
bifurcated	rozvidlený
bifurcation	rozdvojenie
big	veľký
big	vysoký
big	dôležitý
big	významný
big	veľká
big	veľké
big	vyrastený
big	hrubý
big	veľkopanelový
big	rozsiahly
big	ambiciózny
big	veľkorysý
big	ušľachtilý
bigamy	dvojženstvo
bigamy	bigamia
bigger	väčší
bigger	väčšia
bigger	väčšie
bight	slučka
bight	zátoka
bight	záliv
bigot	predpojatý
bigot	zaujatý
bigot	bigotný
bigotry	bigotnosť
bike	bicyklovať
bike	bicykel
bike	motocykel
bike	motorka
bikini	bikiny
bilateral	bilaterálny
bilateral	dvojstranný
bilateral	vzájomný
bilateral	obojstranný
bilateral	obojstranne
bilateral contract	dvojstranná
bilberry	čučoriedka
bile	žlč
bile	mrzutosť
bile	hnev
bilge	útor
bilge	útorový
bilge	oblý
bilge	brucho
bilge	kal
bilge	špina
bilge water	kal
biliary	žlčový
bilinear	bilineárny
bilinear	zmiešaný
bilingual	dvojjazyčný
bilious	žlčníkový
bilious	žlčovitý
bill	účet
bill	oznámenie
bill	faktúra
bill	zmenka
bill	účtenka
bill	súpis
bill	inventúra
bill	vyfakturovať
bill	fakturovať
bill	účtovať
bill	plagátovať
bill	zobák
bill	výkaz
bill	afiš
bill	odpočet
bill	návrh
bill	účtenka
bill	blok
bill	zoznam
bill	plagátový
bill	bankovka
bill	leták
bill	plagát
bill	listina
bill	žaloba
bill of exchange	zmenka
bill of fare	menu
bill of indictment	obžaloba
bill of lading	konosament
billboard	nástenka
billet	ubytovanie
billet	bochník
billet	bilet
billet	výrez
billet	povala
billiards	biliard
billiards	gulečník
billing	zúčtovanie
billing	fakturácia
billing	účtovanie
billing	fakturovací
billion	miliarda
billow	vlna
billy	kyjak
bimetal	bimetal
bimetal	dvojkov
bimetal	bimetalový
bimetallic	dvojkovový
bimetallic	bimetalový
bimetallic	bimetalický
bimetallic	dvojkov
bimonthly	dvojmesačník
bimonthly	dvojmesačný
bimotored	dvojmotorový
bin	zásobník
bin	nádoba
bin	kôš
bin	truhla
bin	nádrž
bin	silo
bin	zásobníkový
bin	debňa
bin	uhliak
binary	binárny
binary	podvojný
binary	dvojkový
binary	podvojná
binary	podvojné
binary	binárna
binary	dvojhviezda
binary	dvojkov
binary	dvojčlenný
binary	binárny
binaural	binaurálny
binaural	stereofonický
bind	zviazať
bind	spútať
bind	lemovať
bind	spájať
bind	spojovať
bind	zovrieť
bind	spojiť
bind	obrúbiť
bind	upínať
bind	pripojiť
bind	priradenie
bind	väzba
bind	viazať
bind	priradiť
bind	záväzok
bind	zablokovanie
bind	potvrdenie
bind	zaviazať
binder	viazač
binder	knihár
binder	pojivo
binder	lep
binder	tmel
binder	priečnik
binder	lepidlo
binder	väzákový
binder	list
binder	samoviazač
binder	spojivo
