binder	rýchloviazač
bindery	kniháreň
bindery	knihárstvo
binding	záväzný
binding	viazanie
binding	bandáž
binding	previazanie
binding	tmelenie
binding	spojovací
binding	viazací
binding	väzbový
binding	lepiaci
binding	väzný
binding	obruč
bine	úponok
bine	výhonok
binge	večierok
binge	orgie
bingo	loto
binnacle	kompasnica
binocular	ďalekohľad
binocular	triéder
binocular	binokulárny
binocular	stereoskopický
binoculars	ďalekohľad
binomial	binóm
binomial	dvojčlen
binomial	binomický
binomial	dvojčlenný
biocatalyst	biokatalyzátor
biochemical	biochemický
biochemistry	biochémia
biographer	životopisec
biographical	biografická
biographical	biografické
biographical	biografický
biography	životopis
biological	biologický
biology	biológia
bionics	bionika
biophysics	biofyzika
biosphere	biosféra
biotic	životný
biotin	biotín
biotite	biotit
bipartite	dvojdielny
bipartite	dvojstranný
bipartite	obojstranný
biped	dvojnohý
biplane	dvojplošník
bipolar	bipolárny
bipolar	dvojpólový
biprism	dvojhranol
birch	prút
birch	metla
birch	breza
birch	palica
bird	vták
bird	vypískanie
bird	vtáčí
bird	osoba
bird	lietadlo
bird	vrtuľník
bird	raketa
bird	operenec
bird	očkovaný
bird	nerovnomerný
bird	vtáča
birdie	vtáčik
birdie	vtáčatko
birefringence	dvojlom
birth	narodenie
birth	pôvod
birth	vznik
birth	pôrod
birth	vrh
birth	zrodenie
birth rate	pôrodnosť
birthday	narodeniny
birthrate	pôrodnosť
biscuit	sušienka
biscuit	keks
biscuit	biskvit
biscuit	suchár
bisect	rozpoliť
bisect	pretínať
bisect	deliť
bisect	rozpoľovať
bisect	poliť
bishop	biskup
bismuth	bizmut
bismuth	bizmutitý
bismuthic	bizmutičný
bison	bizón
bison	zubor
bisque	polievka
bisque	biskvit
bistre	bister
bit	kúsok
bit	trocha
bit	hrot
bit	udidlo
bit	hrýzol
bit	ostrie
bit	trochu
bit	vrták
bit	špica
bit	bit
bitch	suka
bitch	pobehlica
bitch	fena
bitch	fľandra
bite	hrýzť
bite	štípať
bite	pohryznutie
bite	sústo
bite	zabrať
bite	páliť
bite	leptať
bite	kúsok
bite	zovretie
bite	pikantnosť
bite	stláčať
bite	uchopiť
bite	zovrieť
bite	zvierať
bitt	bitva
bitt	poler
bitt	upevniť
bitt	upevňovať
bitter	horký
bitter	trpký
bitter	horkosť
bitter	krutý
bitter	zhorknutie
bitter	trpkosť
bitumen	živica
bitumen	bitúmen
bitumen	asfalt
bitumen	bitúmenový
bitumen	asfaltový
bitumen	asfaltovaný
bituminous	bitúmenový
bituminous	asfaltový
bituminous	bituminózny
bituminous	asfaltický
bivalent	dvojhodnotový
bivalent	bivalentný
bivalve	mušľa
bivalve	ulita
bivalve	ustrica
biz	biznis
biz	obchod
bizarre	fantastický
bizarre	bizarný
bizarre	výstredný
bizarre	zvláštny
blab	tárať
blab	bľabotať
black	čierny
black	tmavý
black	utajený
black	načierniť
black	čerň
black	zatemniť
black	černoch
black	čierna
black	čierne
black	čiernidlo
black	černošský
black	špinavý
black	zlostný
black	nedobrý
black	tma
black	temnota
black and white	čiernobiely
black and white	čierno-biely
black letter	fraktúra
black marketeer	šmelinár
black out	cenzúrovať
black out	zatemňovanie
blackberry	černica
blackbird	drozd
blackboard	tabuľa
blacken	černieť
blacken	načierniť
blacken	očierniť
blacken	začierniť
blackening	černenie
blackening	černanie
blackguard	darebák
blacking	čiernenie
blacking	zatemňovanie
blackish	zčernalá
blackish	zčernalé
blackish	zčernalý
blackjack	zabijak
blackleg	podvodník
blackleg	štrajkokaz
blackmail	vydieračstvo
