straits	tieseň
strand	pobrežie
strand	breh
strand	vlákno
strand	tkanička
strand	cudzina
strand	stroskotať
strand	vyvrhnúť
strand	niť
strand	kadere
strand	splietať
strand	súkať
strand	krútiť
strand	vinúť
stranded	uviaznutý
strange	neznámy
strange	čudný
strange	nezvyklý
strange	nezrozumiteľný
strange	neobyčajný
strange	zdržanlivý
strange	chladný
strange	cudzozemský
strange	cudzo
strange	divno
strange	podivno
strange	zvláštne
strange	podivný
strange	divný
strange	zvláštny
strange	neobvyklý
strange	cudzí
strangeness	cudzosť
strangeness	cudzota
strangeness	neznámosť
strangeness	nezrozumiteľnosť
strangeness	divnosť
strangeness	podivnosť
strangeness	zvláštnosť
strangeness	zdržanlivosť
strangeness	chladnosť
stranger	neznámy
stranger	hosť
stranger	návštevník
stranger	votrelec
stranger	laik
stranger	cudzinec
stranger	nezúčastnený
strangle	škrtiť
strangle	zaškrtiť
strangle	utlmiť
strangle	potláčať
strangle	uškrtiť
strangle	zahrdúsiť
strangle	udusiť
strangulation	uškrtenie
strap	remeň
strap	obtiahnuť
strap	obťahovať
strap	remienok
strap	pás
strap	opasok
strap	pásik
strap	popruh
strap	bitie
strap	ramienko
strap	držiak
strap	držadlo
strap	náplasť
strap	prostitútka
strap	podtitulok
strap	vešadlo
strap	obojok
strapping	mohutný
stratagem	trik
stratagem	úskok
stratagem	lesť
strategic	strategický
strategy	stratégia
stratification	rozvrstvenie
stratification	stratifikácia
stratification	vrstvenie
stratified	rozvrstvený
stratified	vrstvený
stratified	rozvrstvená
stratified	rozvrstvené
stratified	vrstvená
stratified	vrstvené
stratify	navrstviť
stratify	navrstvovať
stratify	rozvrstviť
stratify	stratifikovať
stratify	vrstvenie
stratify	vrstviť
stratigraphy	stratigrafia
stratosphere	stratosféra
stratum	vrstva
straw	slama
straw	slamka
straw	slamený
straw	brčko
straw	tyčinka
straw	maličkosť
straw	bezcenný
straw	neoficiálny
straw	trúsiť
straw	rozhadzovať
straw	fiktívny
straw	nepravý
straw man	bábka
strawberry	jahoda
strawberry	jahodník
stray	zatúlaný
stray	zblúdený
stray	zablúdenec
stray	sporadický
stray	náhodný
stray	zablúdiť
stray	blúdiť
stray	odbehnúť
stray	odísť
stray	odbiehať
stray	zblúdilý
stray	stratený
stray	zabudnutý
stray	rozsypaný
stray	vypadaný
stray	individuálny
stray	nechcený
stray	rušivý
streak	pruh
streak	prúžok
streak	páskovať
streak	pás
streak	čiara
streak	čmuha
streak	striekanec
streak	blesk
streak	chvíľka
streak	okamih
streak	záblesk
streak	vryp
streak	pruhovať
streak	striekať
streak	prekvitať
streaked	pruhovaný
streaked	pruhovaná
streaked	pruhované
streaky	pruhovaný
streaky	prúžkovaný
streaky	žilkovaný
streaky	nevyrovnaný
streaky	nespoľahlivý
streaky	prerastané
stream	viať
stream	tiecť
stream	prúdiť
stream	smer
stream	tendencia
stream	potok
stream	riečka
stream	rieka
stream	príval
stream	záplava
stream	prísun
stream	pramienok
stream	beh
stream	chod
stream	sled
stream	rad
stream	kolóna
stream	prúdenie
stream	pohyb
stream	posun
stream	plynúť
stream	tiahnuť
stream	prelievať
stream	roniť
stream	vanúť
stream	previevať
stream	poletovať
stream	plápolať
stream	natiahnuť
stream	ryžovať
stream	prať
stream	premývať
stream	prúd
stream	tok
streamer	stuha
streamer	stužka
streamer	pásik
streamer	transparent
streamline	aerodynamický
streamline	prúdnica
streamline	zmodernizovať
streamline	skrátiť
streamline	zjednodušiť
streamline	hustiť
streamlined	aerodynamický
streamlined	prúdnicový
