subservient	servilný
subset	podmnožina
subset	podskupina
subset	podsúbor
subset	verzia
subside	zosadať
subside	opadať
subside	klesať
subside	utíchnuť
subside	utíchať
subside	opadnúť
subside	poklesnúť
subside	klesnúť
subside	ustúpiť
subside	doznievať
subside	končiť
subsidence	pokles
subsidence	poklesnutie
subsidence	klesnutie
subsidence	opadnutie
subsidence	ustúpenie
subsidence	sadnutie
subsidence	usadenina
subsidence	doznenie
subsidence	upokojenie
subsidence	skončenie
subsidiarity	podriadenosť
subsidiary	pomocný
subsidiary	dodatočný
subsidiary	pridružený
subsidiary	vedľajší
subsidiary	náhradný
subsidiary	podporný
subsidiary	podružný
subsidiary	doplňujúci
subsidiary	pomocník
subsidiary	výpomoc
subsidiary	podpora
subsidiary	doplňujúca
subsidiary	doplňujúce
subsidiary	vedľajšia
subsidiary	vedľajšie
subsidiary	doplnkový
subsidise	subvencovať
subsidization	podporovanie
subsidization	subvencovanie
subsidize	prispievať
subsidize	podporovať
subsidize	dotovať
subsidy	dotácie
subsidy	subvencie
subsidy	dotácia
subsidy	podpora
subsidy	subvencia
subsidy	prídel
subsidy	výpomoc
subsidy	príspevok
subsidy	prémia
subsist	jestvovať
subsist	existovať
subsist	byť
subsist	trvať
subsist	vydržovať
subsistence	obživa
subsistence	jestvovanie
subsistence	bytie
subsistence	bytosť
subsistence	podstata
subsistence	výživa
subsistence	živobytie
subsistence	existencia
subsistence	trvanie
subsistence	výživné
subsonic	nepočuteľný
subsonic	podzvukový
subsonic	infrazvukový
subsonic	subsonický
substance	jadro
substance	imanie
substance	pevnosť
substance	materiál
substance	substancia
substance	základ
substance	hutnosť
substance	výživnosť
substance	výdatnosť
substance	solídnosť
substance	majetok
substance	prostriedky
substance	podstata
substance	hmota
substance	látka
substandard	rizikový
substandard	nespisovný
substandard	neštandardný
substantial	pevný
substantial	silný
substantial	výživný
substantial	výdatný
substantial	majetný
substantial	zámožný
substantial	úplný
substantial	hmatateľný
substantial	značný
substantial	významný
substantial	poriadny
substantial	veľký
substantial	solídny
substantial	pádny
substantial	presvedčivý
substantial	oprávnený
substantial	rozhodný
substantial	hojný
substantial	dôkladný
substantial	podstatná
substantial	podstatné
substantial	závažná
substantial	závažné
substantial	pozoruhodný
substantial	pozoruhodná
substantial	pozoruhodné
substantial	významná
substantial	významné
substantial	podstatný
substantial	skutočný
substantial	hmotný
substantial	závažný
substantial	dôležitý
substantial	reálny
substantiality	podstatnosť
substantiality	hmotnosť
substantiality	reálnosť
substantiality	pevnosť
substantiality	solídnosť
substantiality	masívnosť
substantiality	robustnosť
substantiality	bohatosť
substantiality	výdatnosť
substantially	podstatne
substantially	materiálne
substantially	asi
substantially	okolo
substantiate	odôvodňovať
substantiate	dokazovať
substantiate	ospravedlniť
substantiate	odôvodniť
substantiate	doložiť
substantiate	stelesniť
substantiate	stvárniť
substantiate	formulovať
substantiate	vyjadriť
substantiate	uskutočniť
substantiate	posilniť
substantiate	dokázať
substantiate	opodstatniť
substantiation	odôvodnenie
substantiation	zdôvodnenie
substantiation	opodstatnenie
substantiation	potvrdenie
substantiation	dokazovanie
substantiation	stelesnenie
substantiation	zhmotnenie
substantiation	stvárnenie
substantiation	vyjadrenie
substantive	veľký
substantive	značný
substantive	poriadny
substantive	autonómny
substantive	formálny
substantive	pevný
substantive	solídny
substantive	trvalý
substantive	definitívny
substantive	materiálny
substantive	hmotný
substantive	samostatný
substantive	nezávislý
substantive	podstatný
substantive	skutočný
substantive	reálny
substation	prípojka
substation	transformovňa
substitute	náhradník
substitute	náhrada
substitute	zastúpiť
substitute	nahradiť
substitute	použiť
substitute	používať
substitute	zástupca
substitute	výpomoc
substitute	napodobenina
substitute	nahradzovať
substitute	dosadiť
substitute	náhradný
substitute	substitučný
substitute	náhradník
substitute	zástupca
substitute	nahrádzať
substitute	vymeniť
substitute	náhrada
