bloomer	predvalcovač
blooming	kvitnúci
blooming	zatratený
blooming	presvetlenie
blooming	dúchanie
blooming	vháňanie
blooming	fúkanie
blooming	vyfukovanie
blooming	unikanie
blooming	závojovanie
blossom	kvet
blossom	kvitnúť
blot	škvrna
blot	poškvrniť
blot	pošpiniť
blot	vysať
blot	machuľa
blot	fľak
blot out	vymazať
blot out	preškrtať
blotch	opar
blotch	škvrna
blotch	fľak
blotch	vyrážka
blotch	pupenec
blotch	uhor
blotting paper	pijak
blouse	blúza
blouse	blúzka
blow	fúkať
blow	dúchať
blow	rana
blow	úder
blow	duť
blow	viať
blow	kvitnúť
blow	vytvárať
blow	vanúť
blow	uhasenie
blow	píšťala
blow	oprašovač
blow	vydutie
blow	tavba
blow	fúkanie
blow	vypúšťací
blow	vyfukovací
blow	výfučňový
blow	odkaľovací
blow	vystreľovací
blow	dúchací
blow	nárazový
blow	vetrací
blow	tvarovať
blow	vyfúknuť
blow	zhasiť
blow	vystreknúť
blow	vyfukovať
blow	vytvarovať
blow out	prasknúť
blow out	sfúknuť
blow out	zahasiť
blow up	explodovať
blow up	zväčšiť
blow up	zväčšenina
blow up	výbuch
blow up	explózia
blower	dúchadlo
blower	ventilátor
blower	kompresor
blower	telefón
blower	syčiak
blower	dúchadlový
blower	ventilátorový
blower	odstredivý
blowing	dúchanie
blowing	fúkanie
blowing	zhášanie
blowing	zdurenie
blowing	vyfukovanie
blowing	vyfukovací
blowing	zapaľovací
blowing	sklársky
blowlamp	spájkovačka
blowlamp	spájkovací
blown	fúkaný
blown	vanutý
blown	dutá
blown	duté
blown	fúkaná
blown	fúkané
blown	vanutá
blown	vanuté
blown	vyfukovanie
blown	dutinový
blown	ofukovaný
blowtorch	plameňomet
blowzy	červenolíci
blowzy	strapatý
blowzy	neupravený
blubber	nárek
blubber	nariekať
blubber	jajkať
blubber	plakať
bludgeon	mlátiť
bludgeon	zmlátiť
bludgeon	obušok
bludgeon	kyjak
blue	modrý
blue	belasý
blue	skľúčený
blue	nemiestny
blue	modrá
blue	modré
blue	moridlo
blue	roquefort
blueing	modranie
blueing	modridlo
blueprint	modrotlač
blueprint	plán
blueprint	návrh
blueprint	kyanotyp
blueprint	diazotypický
blues	blues
bluff	bluf
bluff	zráz
bluff	oblý
bluff	zrázny
bluff	príkry
bluff	klam
bluff	podvod
bluff	zastrašovanie
bluff	útes
bluff	blufovať
bluish	modravý
bluish	namodralá
bluish	namodralé
bluish	namodralý
bluish	modrastý
blunder	chyba
blunder	omyl
blunder	chybiť
blunder	tápať
blunderbuss	mušketa
blunt	tupý
blunt	neokrôchaný
blunt	otupený
blunt	otvorený
blunt	zaoblený
blunt	otupiť
blunt	necitlivý
blunt	neohrabaný
blunt	neotesaný
blur	rozmazať
blur	preškrtať
blur	škvrna
blur	zastrieť
blur	nezreteľnosť
blur	nejasnosť
blur	fľak
blur	zamazať
blur	zakryť
blurb	záložka
blurred	rozmazaný
blurred	nejasný
blurred	neostrý
blurt out	vyhŕknuť
blush	rumenec
blush	rumeň
bluster	hučať
bluster	vyvádzať
bluster	zúriť
bluster	víchor
bluster	burácanie
bluster	chvastanie
boar	diviak
boar	brav
boar	kanec
board	doska
board	lepenka
board	tabuľa
board	stôl
board	pult
board	riadenie
board	nastúpiť
board	výbor
board	platňa
board	fošňa
board	hrebeň
board	klát
board	kolektív
board	palubný
board	debniť
board	odebniť
board	vstupovať
board	rada
board	kolégium
board	komisia
board	panel
board	zbor
board	paluba
