terra alba	sadrovec
terra firma	pevnina
terra firma	súš
terrace	terasa
terrace	stupeň
terrace	terasový
terrace	terasovitý
terrace	valbový
terrace	radový
terrain	terén
terrain	pole
terrain	sféra
terrain	terénny
terrain	topografický
terrapin	korytnačka
terrarium	terárium
terrene	zemský
terrene	pozemský
terrene	svetský
terrene	terén
terrestrial	pozemšťan
terrestrial	zemný
terrestrial	prozaický
terrestrial	zemský
terrestrial	suchozemský
terrible	hrozný
terrible	strašný
terrible	príšerný
terrible	desivý
terribleness	des
terribleness	hrôza
terrier	domobranec
terrier	kataster
terrific	hrozný
terrific	strašný
terrific	náramný
terrific	úžasný
terrific	prudký
terrific	tvrdý
terrific	krutý
terrific	šialený
terrific	ohromný
terrific	ostrý
terrify	nastrašiť
terrify	naplašiť
terrify	postrašiť
terrify	vystrašiť
terrify	zastrašiť
terrify	vydesiť
terrify	vypaľovať
territorial	domobranec
territorial	územný
territorial	teritoriálny
territory	územie
territory	teritórium
territory	oblasť
terror	teror
terror	strach
terror	úzkosť
terror	postrach
terror	hrôzovláda
terror	uličník
terror	násilie
terror	vláda
terror	prízrak
terror	mor
terror	utrpenie
terror	alarm
terror	zdesenie
terror	hrôza
terrorise	terorizovať
terrorise	zastrašovať
terse	strohý
terse	stručný
terse	hutný
terse	výstižný
terse	úsečný
tertian	obdenný
tertiary	terciálny
tertiary	terciálna
tertiary	terciálne
tertiary	terciárny
tertiary	tretí
tertiary	treťoradý
tesla	tesla
tessellated	mozaikový
tessellated	kockový
tessera	kubický
test	test
test	vyskúšať
test	kritérium
test	analýza
test	rozbor
test	preverovať
test	redakcia
test	ulita
test	lastúra
test	ladenie
test	ladiť
test	testovanie
test	osvedčiť
test	overiť
test	sonda
test	skúšanie
test	skúšobňa
test	reakcia
test	skúšobný
test	merací
test	skúšaný
test	skúšací
test	prieskumný
test	kriteriálny
test	simulačný
test	súdny
test	testovací
test	kontrolovať
test	skontrolovať
test	skúška
test	skúšať
test	overovať
test	testovať
test	preveriť
testament	závet
testament	testament
testament	záveť
testamentary	závetný
testamentary	testamentárny
testator	závetca
testator	testátor
tested	skúšaný
tester	skúšač
tester	detektor
tester	testovač
testicle	vajce
testicle	jadro
testify	prejaviť
testify	prejavovať
testify	vyhlásiť
testify	vyhlasovať
testify	dokázať
testify	vypovedať
testify	svedčiť
testify	dosvedčiť
testimonial	doporučenie
testimonial	svedecký
testimonial	osvedčenie
testimonial	certifikát
testimonial	posudok
testimonial	dôkaz
testimonial	doklad
testimonial	osvedčujúci
testimonial	vysvedčenie
testimonial	odmena
testimony	svedectvo
testimony	dôkaz
testing	testovanie
testing	analýza
testing	kontrola
testing	skúška
testing	rozborový
testing	skúšanie
testis	svedok
testosterone	testosterón
testy	nevrlý
testy	mrzutý
testy	prchký
testy	dráždivý
tetchy	podráždený
tetchy	popudený
tether	povraz
tether	uzda
tether	priviazať
tether	priväzovať
tetrachloroethylene	tetrachlóretylén
tetrad	tetróda
tetrad	štvorica
tetrad	štvorka
tetrad	štvormocný
tetrahedron	štvorsten
tetrapod	štvornohý
tetrapod	štvornožec
tetravalent	štvormocný
tetrode	tetróda
tetroxide	oxid
tetryl	tetryl
Teutonic	germánčina
Teutonic	germánsky
text	text
text	téma
text	citát
text	pasáž
text	doslov
text	originál
text	znenie
text	predmet
text	námet
text	slová
text	biblia
textbook	učebnica
textbook	príručka
