thorough	úplný
thoroughfare	trieda
thoroughfare	ulica
thoroughfare	prejazd
thoroughfare	priechod
thoroughgoing	dôkladný
thoroughgoing	dokonalý
thoroughgoing	nekompromisný
thoroughgoing	dôsledný
thoroughly	úplne
thoroughly	celkom
thoroughly	dôkladne
thoroughly	starostlivo
those	tamtí
those	tamtie
those	ktorých
those	tí
those	tie
those	toto
those	oni
though	no
though	lež
though	avšak
though	ale
though	však
though	predsa
though	aj
though	hoci
thought	myslenie
thought	myšlienka
thought	názor
thought	meditácia
thought	úvaha
thought	uvažovanie
thought	pomyslenie
thought	predstava
thought	názory
thought	mienenie
thought	myslel
thought	myslený
thought	zamyslenie
thought	premýšľanie
thought	mienka
thought	nápad
thought	úmysel
thought	starosť
thoughtful	zamyslený
thoughtful	hĺbavý
thoughtful	ohľaduplný
thoughtful	pozorný
thoughtful	premýšľavý
thoughtful	obsažný
thoughtful	hlboký
thoughtful	láskavý
thoughtful	starostlivý
thoughtless	bezohľadný
thoughtless	nepozorný
thoughtless	nedbanlivý
thoughtless	bezmyšlienkovitý
thoughtless	nepremyslený
thoughtless	neuvážený
thoughtless	sebecký
thoughtless	nevšímavý
thousand	tisíc
thousand	tisícka
thousandth	tisíci
thousandth	tisícina
thraldom	poroba
thraldom	otroctvo
thrall	otrok
thrall	otroctvo
thrash	biť
thrash	tĺcť
thrash	zmlátiť
thrasher	výprask
thrasher	bitka
thrasher	mláťačka
thrashing	výprask
thrashing	bitka
thread	vlákno
thread	niť
thread	lúč
thread	pás
thread	závit
thread	vlas
thread	priadza
thread	handry
thread	cesta
thread	thread
thread	závitový
thread	tkáčsky
thread	motací
thread	pásmovací
thread	rezať
thread	zakladať
threadbare	odretý
threadbare	ošarpaný
threadbare	otrepaný
threadbare	obnosený
threadbare	ošúchaný
threaded	zreťazený
threaded	závitový
threaded	niťový
threader	navliekač
threadlike	tenký
threadlike	vláknitý
threat	vyhrážka
threat	vyhrážanie
threat	hrozba
threat	ohrozenie
threaten	ohrozovať
threaten	vyhrážať
threaten	hroziť
threatening	výhražný
threatening	hroziaci
three	tri
three	trojka
three	trojica
three	potrojný
three hundred	tristo
three-cornered	trojrohý
three-dimensional	trojrozmerný
three-dimensional	priestorový
three-legged	trojrohý
three-ply	trojvrstvový
three-quarter	trojštvrťový
threefold	trojnásobný
threefold	trojnásobne
threepence	trojpenca
threepenny	trojpencový
threnody	žalospev
thresher	mlatec
thresher	obilný
thresher	mláťačka
threshing	výprask
threshing	bitka
threshing	mlatba
threshing	mlátenie
threshing	mláťací
threshold	vchod
threshold	prah
thrice	trikrát
thrift	šetrnosť
thrift	gazdovlivosť
thrift	sporivosť
thrift	hospodárnosť
thrift	úspornosť
thriftless	nešetriaci
thriftless	márnotratný
thrifty	hospodárny
thrifty	sporivý
thrifty	šetrný
thrifty	úspešný
thrifty	prosperujúci
thrill	napätie
thrill	vzrušenie
thrill	vzrušiť
thrill	napnúť
thrill	rozochvetie
thrill	záchvev
thriller	detektívka
thrilling	vzrušujúci
thrilling	napínavý
thrive	rozkvitať
thrive	prosperovať
throat	hrdlo
throat	hltan
throat	krk
throat	hrtan
throat	vchod
throat	vjazd
throat	úžina
throat	rímsa
throat	odkvap
throat	dýza
throat	sadzobňa
throat	prietok
throat	tlama
throat	drážka
throat	krychtový
throat	rezný
throaty	hrdelný
throaty	nezreteľný
throaty	zastretý
throb	tĺcť
throb	biť
throb	búšiť
throb	záchvev
throb	búšenie
throb	tlkot
throb	vibrácia
throb	chvenie
throe	muky
throe	bolesti
throes	bolesti
throes	muky
throne	trón
throng	tlačenica
throng	nával
throng	dav
