till	pokladnica
tillable	orný
tillage	orba
tiller	oráč
tiller	roľník
tiller	páka
tiller	držadlo
tiller	kyprič
tiller	kultivátor
tilt	turnaj
tilt	zápas
tilt	naklonenie
tilt	nachýlenie
tilt	nakloniť
tilt	nahnúť
tilt	nachýliť
tilt	sklopiť
tilt	vyklopiť
tilt	preklopiť
tilt	nakláňať
tilt	zdvihnúť
tilt	posunúť
tilt	kymácať
tilt	založiť
tilt	útočiť
tilt	naraziť
tilt	vraziť
tilt	sklon
tilt	náklon
tilt	klopenie
tilt	skláňanie
tilt	staveniskový
tilt	skláňať
tilt	vyklápať
tilter	sklápač
tilter	vyklápač
tilth	orba
timber	trám
timber	les
timber	hrada
timber	brvno
timber	rezivo
timber	drevo
timber	tesársky
timber	drevený
timber	oplenový
timber	vystužovať
timber	vydreviť
timbered	drevený
timbered	lesnatý
timbered	zalesnený
timbered	trámový
timbered	trámová
timbered	trámové
time	čas
time	chvíľa
time	hodina
time	načasovať
time	stopovať
time	hodiny
time	príležitosť
time	tempo
time	výpoveď
time	ťah
time	doba
time	perióda
time	takt
time	lehota
time	okamih
time	životnosť
time	úsek
time	trvanie
time	oneskorovací
time	sezónny
time	termínový
time	synchronizovať
time	viesť
time	časovať
time	časový
time clock	pichačky
time period	doba
time-honoured	starobylý
timed	časovaný
timekeeper	časomerač
timekeeper	časomer
timekeeper	hodiny
timeless	nevhodný
timeless	nekonečný
timeless	večný
timeliness	včasnosť
timely	včasný
timely	aktuálny
timepiece	hodinky
timer	časovač
timer	rozdeľovač
timer	krokovač
timer	hodiny
timer	jednotka
timer	čas
times	krát
times	mnohokrát
timetable	rozvrh
timid	bojazlivý
timid	plachý
timing	synchronizácia
timing	oneskorenie
timing	rozvodný
timing	časovaný
timing	časovací
timing	časovanie
timing	časový
timorous	bojazlivý
timorous	nesmelý
timorous	plachý
tin	cín
tin	plechovka
tin	plech
tin	cínovať
tin	groše
tin	fuky
tin	konzervovať
tin	konzerva
tin	cínatý
tin	ciničitý
tin	pocínovaný
tin	pocínovať
tin	prachy
tin	peniaze
tincture	tinktúra
tincture	zafarbiť
tincture	náznak
tincture	nádych
tinder	práchno
tine	konček
tinfoil	staniol
ting	cinknutie
ting	cinknúť
tinge	nádych
tinge	prifarbiť
tinge	poznačiť
tinge	pichanie
tinge	hučanie
tinge	vzrušenie
tinge	pichať
tinge	znieť
tinge	hučať
tinge	príchuť
tinge	prímes
tinge	odtieň
tinker	fušovať
tinker	babrák
tinker	fušer
tinker	klampiar
tinker	drotár
tinkle	cengať
tinkle	zvoniť
tinkle	cvengot
tinned	pocínovaný
tinned	konzervovaný
tinning	cínovanie
tinning	pocínovanie
tinny	plechový
tinny	cínový
tinsel	čačka
tinsel	pozlátka
tinsmith	klampiar
tint	odtieň
tint	nádych
tint	zafarbiť
tint	farba
tint	sfarbenie
tint	farbiť
tint	sfarbiť
tinting	tónovanie
tinting	sýtosť
tintometer	kolorimeter
tiny	nepatrný
tiny	malý
tiny	drobný
tiny	maličký
tip	prevrátiť
tip	varovanie
tip	rada
tip	náraz
tip	dotyk
tip	cíp
tip	konček
tip	tip
tip	udierať
tip	skládka
tip	smetisko
tip	vyliať
tip	vyprázdňovať
tip	špička
tip	hrot
tip	vrchol
tip	koniec
tip	kovanie
tip	náustok
tip	pero
