tungstate	jednowolfráman
tungsten	wolfram
tungsten	volfrám
tungsten	wolfrám
tungsten	volframičitý
tunic	tunika
tunic	blúzka
tuning	ladiaci
tuning	ladenie
tunnel	tunel
tunnel	kanál
tunnel	chodba
tunnel	štôlňa
tunnel	galéria
tunnel	podkop
tunnel	lievik
tunnel	hĺbiť
tunnel	preraziť
tunnel	priechod
tunnel	tunelovací
tunny	tuniak
tup	baran
tup	kovadlo
turban	turban
turbid	zakalený
turbid	konfúzny
turbid	bahnistý
turbid	mútny
turbid	rozvírený
turbid	zahmlený
turbid	zmätený
turbid	zatiahnutý
turbid	neusporiadaný
turbid	temný
turbid	rozbúrený
turbid	kalný
turbidity	kalnosť
turbidity	zakalenosť
turbidity	turbidita
turbidity	zahmlenosť
turbidity	zatiahnutosť
turbidity	zákal
turbidity	zákalový
turbidness	zákal
turbidness	kalnosť
turbidness	zakalenosť
turbidness	turbidita
turbidness	zahmlenosť
turbidness	zatiahnutosť
turbine	turbína
turbine	turbínový
turbine	turbovrtuľový
turboprop	turbovrtuľový
turbulence	turbulencia
turbulence	vírenie
turbulent	nepokojný
turbulent	búrlivý
turbulent	neukáznený
turbulent	turbulentný
turbulent	vírivý
turf	trávnik
turf	rašelina
turf	dostihy
turf	pokrývať
turf	plášť
turgid	opuchnutý
turgid	nabehnutý
turgid	šibal
turgid	huncút
turgid	napuchnutý
turgid	vzdutý
turgid	bombastický
Turk	mohamedán
turkey	morka
turkey	moriak
Turkish	turečtina
Turkish	turecký
Turkish	tureckú
turmoil	rozruch
turmoil	zmätok
turmoil	hurhaj
turmoil	nepokoj
turn	zmeniť
turn	využívať
turn	stránkovať
turn	odvrátiť
turn	obrátiť
turn	dosiahnuť
turn	meniť
turn	premieňať
turn	zákruta
turn	schopnosť
turn	potreba
turn	poradie
turn	rad
turn	úder
turn	otras
turn	šok
turn	otáčanie
turn	číslo
turn	náklonnosť
turn	sklon
turn	odvracať
turn	prevrátiť
turn	prevracať
turn	obísť
turn	obchádzať
turn	zatočiť
turn	odbočiť
turn	zahnúť
turn	oboplávať
turn	točiť
turn	otáčať
turn	ohnúť
turn	prehnúť
turn	zakriviť
turn	obaliť
turn	nastaviť
turn	naštartovať
turn	zorať
turn	obracať
turn	premýšľať
turn	zastaviť
turn	zaraziť
turn	konvertovať
turn	odpadnúť
turn	vykĺbiť
turn	prekročiť
turn	namieriť
turn	zamieriť
turn	poslať
turn	dať
turn	pustiť
turn	použiť
turn	nasadiť
turn	skvasiť
turn	zafarbiť
turn	otupiť
turn	obrábať
turn	spracovať
turn	opracovať
turn	sústružiť
turn	vybrúsiť
turn	prispôsobiť
turn	olúpať
turn	vykôstkovať
turn	blokovať
turn	chodiť
turn	otáčka
turn	otočiť
turn	točňa
turn	točenie
turn	obrat
turn	obeh
turn	závit
turn	ohyb
turn	zatočenie
turn	zástavkový
turn	obrábací
turn	závitový
turn	otočenie
turn down	ohrnúť
turn down	zahnúť
turn off	zastaviť
turn off	zavrieť
turn off	prepustiť
turn off	odbočovať
turn off	odbočiť
turn off	zhasnúť
turn off	vyhodiť
turn off	zahnúť
turn off	zatočiť
turn off	previesť
turn off	zahrať
turn off	zaspievať
turn off	odpredať
turn off	obesiť
turn off	improvizovať
turn off	odradiť
turn off	vypnúť
turn off	vypnutá
turn on	rozsvietiť
turn on	vyhnať
turn on	otvoriť
turn on	vyrábať
turn on	obracať
turn on	produkovať
turn on	zapnúť
turn out	dopadnúť
turn over	preklápať
turn over	pretáčať
turn over	obrátiť
turn over	preklopiť
turn up	ohýbať
turnabout	obrat
turnabout	obrátenie
turnabout	zvrat
turnabout	odpadlík
turnabout	renegát
turnabout	kolotoč
