turnaround	spätný
turnbuckle	napínadlo
turncoat	odpadlík
turncoat	renegát
turner	sústružník
turner	tokár
turner	otáčač
turner	otáčadlo
turner	lopatka
turner	hrnčiar
turner	brúsič
turner	gymnasta
turning	otáčanie
turning	otočenie
turning	točenie
turning	rotácia
turning	zákruta
turning	odbočka
turning	otočka
turning	križovatka
turning	závit
turning	sústruženie
turning	triesky
turning	kysnutie
turning	zrážanie
turning	preloženie
turning	otočný
turning	sústružnícky
turning	otáčací
turnkey	žalárnik
turnout	výhybka
turnover	obrat
turnover	závin
turnover	koláč
turnover	preklopenie
turnover	prevalenie
turnover	prevrátenie
turnover	prekotenie
turnover	zvrat
turnover	zmena
turnover	premena
turnover	pohyb
turnover	fluktuácia
turnover	piroh
turnover	obratový
turnover	prepólovanie
turnpike	mýto
turnpike	závora
turnpike	cesta
turnstile	turniket
turntable	točňa
turntable	tanier
turpentine	terpentín
turpitude	podlosť
turpitude	ohavnosť
turpitude	nečestnosť
turpitude	hanebnosť
turpitude	protiprávnosť
turps	terpentín
turquoise	tyrkys
turret	vežička
turtle	hrdlička
turtle	korytnačka
turtle	pokladnica
turtle	korytnačí
tusk	kel
tusk	tesák
tussle	bitka
tussle	ruvačka
tussock	chumáč
tussock	chlp
tutelage	opatera
tutelage	poručníctvo
tutelage	opatrovníctvo
tutor	vychovávateľ
tutor	konzultant
tutor	vyučovať
tutor	inštruktor
tutor	tútor
tutor	opatrovník
tutor	zdržiavať
tutor	ovládať
tutor	doučovať
tutor	vychovávať
tutor	školiť
tutor	vyškoliť
tutor	poučovať
tutor	inštruovať
tutor	krotiť
tutor	učiteľ
tutorial	konzultácia
tutorial	učiteľský
tutorial	vychovateľský
tutorial	príručka
tutorship	poručníctvo
tutorship	opatrovníctvo
twaddle	táraniny
twaddle	hlúposti
twaddle	tárať
twaddler	táradlo
twaddler	táraj
twang	brnk
twang	fufnanie
twang	fufnať
twang	brnknúť
twang	brnkať
twang	zahrať
twang	zabrnkanie
twang	prízvuk
twang	dialekt
twang	nárečie
twang	príchuť
twang	chuť
twang	vôňa
twang	pach
twang	náznak
tweak	zakrútiť
tweak	krútiť
tweak	zakrútenie
tweak	krútenie
tweak	škubnutie
tweak	poťahovanie
tweak	škubanie
tweak	nepokoj
tweak	štípať
tweak	uštipnúť
tweak	uštipnutie
tweak	štipec
tweak	doladiť
twee	hanblivý
twee	afektovaný
tweed	tvíd
tweet	štebotať
tweet	džavotať
tweet	čvirikanie
tweet	džavot
tweet	štebot
twelfth	dvanásty
twelfth	dvanástina
twelve	dvanásť
twelve	dvanástka
twelvemonth	rok
twentieth	dvadsiaty
twentieth	dvadsatina
twenty	dvadsiatka
twenty	dvadsať
twenty-one	dvadsaťjeden
twenty-two	dvadsaťdva
twice	dvakrát
twice	dvojčatá
twiddle	vrtieť
twiddle	točiť
twiddle	krútiť
twiddle	vlnovec
twig	vetvička
twig	konár
twig	haluz
twig	halúzka
twig	prút
twig	prútik
twig	virguľa
twig	žilka
twilight	šero
twilight	polotma
twilight	súmrak
twilight	stmievanie
twilight	úsvit
twilight	svitanie
twilight	prítmie
twilight	pološero
twill	keprový
twin	dvojník
twin	blíženec
twin	zdvojený
twin	dvojčatá
twin	rovnaký
twin	paralelný
twin	spriaznený
twin	dvojnásobný
twin	spárovať
twin	odpovedať
twin	zdvojená
twin	zdvojené
twin	dvojčatný
twin	dvojča
twin	dvojitý
twine	spletať
twine	pliesť
twine	pletivo
twine	ovinúť
twine	povraz
twine	upliesť
twine	splietať
twine	sprevádzať
twine	špagát
twine	motúz
twine	motúzik
twine	šnúrka
twine	zavinúť
twine	závit
