twopenny	bezvýznamný
tycoon	veľkokapitalista
tying	viazanie
tying	zviazanie
tying	viazaný
tying	záväzný
tympan	príklop
tympan	poťah
tympan	poťahový
tympanum	tympanón
type	typ
type	symbol
type	litera
type	napísať
type	napíšte
type	charakteristický
type	typický
type	druh
type	odroda
type	trieda
type	kaliber
type	patróna
type	predobraz
type	predzvesť
type	znamenie
type	figúra
type	vzor
type	model
type	prototyp
type	figúrka
type	odtlačok
type	písmeno
type	značka
type	litery
type	sadzba
type	písať
type	zaradiť
type	klasifikovať
type	obsadenie
type	zapísať
type	písmo
type	znak
type	stupeň
type	písmový
type	písomný
type	sádzací
typescript	strojopis
typesetter	sádzač
typewriter	guľomet
typhoid fever	týfus
typhoon	tajfún
typical	typický
typical	typový
typical	charakteristický
typically	typický
typically	poväčšine
typically	typicky
typify	typizovať
typify	predstavovať
typing	napísanie
typing	typovanie
typing pool	pisáreň
typographer	tlačiar
typographer	typograf
typographer	sádzač
typographic	typografický
typology	typológia
tyranny	despotizmus
tyranny	tyrania
tyranny	tyranstvo
tyranny	krutosť
tyranny	krutovláda
tyrant	tyran
tyrant	despota
tyrant	krutovládca
tyre	pneumatika
tyre	plášť
tyre	snehový
Tyrol	tirolské
tyrosine	tyrozín
tzar	cár
tzarina	cárovná
ubiquitous	všadeprítomný
ubiquity	všadeprítomnosť
udder	vemeno
udometer	dážďomer
ugliness	škaredosť
ugliness	šerednosť
ugliness	ohyzdnosť
ugliness	ohavnosť
ugliness	hnus
ugliness	odpornosť
ugliness	sprostosť
ugliness	sprostota
ugliness	podlosť
ugliness	nízkosť
ugliness	nepríjemnosť
ugliness	nepriaznivosť
ugliness	zloba
ugliness	zlosť
ugliness	hrozný
ugliness	drsnosť
ugliness	hádavosť
ugliness	hašterivosť
ugliness	buričstvo
ugliness	rozbúrenosť
ugly	nepríjemný
ugly	škaredý
ugly	nepekný
ugly	ohavný
ugly	ohyzdný
ugly	odporný
ugly	protivný
ugly	výhražný
ugly	hrozivý
ugly	mrzký
ugly	šeredný
ugly	hnusný
ugly	sprostý
ugly	podlý
ugly	nízky
ugly	nepriaznivý
ugly	zlý
ugly	varovný
ugly	nebezpečný
ugly	drsný
ugly	pľuhavý
ugly	hádavý
ugly	hašterivý
ugly	nepokojný
ugly	búrlivý
ugly	rozbúrený
ugly	závoj
ugly	štítok
Ugrian	uhorský
Ugric	ugrofínsky
ukase	úkaz
Ukrainian	ukrajinčina
Ukrainian	ukrajinský
ukulele	ukulele
ulcer	vred
ulcer	semenisko
ulcer	ohnisko
ulcerate	zvrednatieť
ulcerate	zvredovatieť
ulcerated	zvredovatený
ulcerated	vredovitý
ulcerated	skazený
ulcerated	jedovatý
ulceration	zvredovatenie
ulceration	ulcerácia
ulceration	vred
ulceration	vredovitosť
ulcerative	vredovitý
ulcerous	vredovitý
ulcerous	vredový
ulcerous	ulcerózny
ulcerous	skazený
ulcerous	prehnitý
ullage	úbytok
ullage	manko
ullage	spodina
ullage	schodok
ulna	ulna
ulna	lakeť
ulnar	lakťový
ulster	hubertus
ulterior	utajený
ulterior	skrytý
ulterior	neskorší
ulterior	ďalší
ulterior	vzdialenejší
ulterior	nasledujúci
ulterior	postranný
ulterior	tajný
ulterior	záludný
ulterior	vedľajší
ultima	posledný
ultima	krajný
ultimate	konečný
ultimate	definitívny
ultimate	primárny
ultimate	prvotný
ultimate	posledný
ultimate	najvyšší
ultimate	najvzdialenejší
ultimate	záverečný
ultimate	rozhodujúci
ultimate	budúci
ultimate	možný
ultimate	eventuálny
ultimate	hlavný
ultimate	podstatný
ultimate	základný
ultimate	fundamentálny
ultimate	prapôvodný
ultimate	neprekonateľný
ultimate	elementárny
ultimate	krajný
ultimate	najväčší
