unauthorized	nepovolený
unavailability	nedosiahnuteľnosť
unavailability	nepoužiteľnosť
unavailability	nedostupnosť
unavailable	nevyužiteľný
unavailable	neprístupný
unavailable	nedostupný
unavailable	nedosiahnuteľný
unavailing	bezvýsledný
unavailing	neúspešný
unavailing	nevydarený
unavailing	márny
unavailing	zbytočný
unavoidable	neodvratný
unavoidable	nevyhnutný
unavoidable	neodvrátiteľný
unavoidable	neodstrániteľný
unaware	neznalý
unaware	nevedomý
unaware	nevediaci
unaware	netušiaci
unaware	nešípiaci
unawares	neočakávane
unawares	neuvedomele
unawares	náhle
unawares	nepredvídane
unawares	mimovoľne
unawares	nevedomky
unawares	nezámerne
unbalance	vychýliť
unbalance	priviesť
unbalance	zmiasť
unbalance	nerovnováha
unbalance	nevyváženosť
unbalance	zmätok
unbalance	zmätenie
unbalance	neporiadok
unbalance	šialenstvo
unbalance	pomätenosť
unbalance	nevyvážený
unbalanced	nevyrovnaný
unbalanced	nevyvážený
unbalanced	nesúmerný
unbearable	neznesiteľný
unbeaten	neporazený
unbeaten	nepremožený
unbeaten	neprekonaný
unbeaten	nebitý
unbeaten	nezbitý
unbeaten	neušľahaný
unbeaten	nešľahaný
unbeaten	nedostihnuteľný
unbeaten	nevyšliapaný
unbeaten	neprebádaný
unbeaten	nepreskúmaný
unbecoming	nesvedčiaci
unbecoming	nevhodný
unbecoming	neprístojný
unbecoming	neslušný
unbelievable	neuveriteľný
unbend	vystierať
unbend	povoliť
unbend	narovnať
unbend	odviazať
unbend	uvoľniť
unbend	odhodiť
unbend	odpojiť
unbend	odpútať
unbend	nevychýlený
unbend	nesystematický
unbending	neústupný
unbending	tvrdohlavý
unbending	pevný
unbending	neohybný
unbending	tvrdý
unbending	odolný
unbending	nepoddajný
unbending	chladný
unbending	povýšený
unbending	uvoľnenie
unbiased	nepredpojatý
unbiased	nezaujatý
unbiased	objektívny
unbiassed	nepredpojatý
unbiassed	nezaujatý
unbind	rozviazať
unbind	vyslobodiť
unbleached	nebielený
unblemished	nepoškvrnený
unblemished	bezchybný
unblemished	dokonalý
unblended	nerezaný
unblended	neohraničený
unblock	odblokovať
unblushing	nehanblivý
unblushing	nehanebný
unblushing	priamy
unblushing	otvorený
unbolt	vyskrutkovať
unbolt	vykrúcať
unbolt	odskrutkovať
unborn	nenarodený
unborn	nejestvujúci
unborn	budúci
unbosom	zveriť
unbosom	zverovať
unbosom	prezradiť
unbosom	odhaliť
unbound	nespútaný
unbound	voľný
unbound	neviazaný
unbound	oslobodený
unbounded	nesmierny
unbounded	nekonečný
unbounded	náramný
unbounded	bezmedzný
unbounded	nepovinný
unbounded	neohraničený
unbounded	neuzavretý
unbreakable	nerozbitný
unbridled	voľný
unbridled	neovládaný
unbridled	divoký
unbroken	nedotknutý
unbroken	celý
unbroken	nepretržitý
unbroken	nerušený
unbroken	dodržaný
unbroken	nezrušený
unbroken	nezlomený
unbroken	nerozlámaný
unbroken	nerozbitý
unbroken	zdravý
unbroken	dokonalý
unbroken	neprerušovaný
unbroken	neporušený
unbroken	nepredstihnutý
unbroken	neprekonaný
unbroken	neskrotený
unbroken	neprerušený
unbroken	pokračujúci
unbutton	rozopnúť
unbutton	otvoriť
unbutton	dešifrovať
uncalled-for	nežiadúci
uncalled-for	nevhodný
uncalled-for	nemiestny
uncalled-for	nepotrebný
uncanny	divný
uncanny	čudný
uncanny	záhadný
uncanny	tajomný
uncanny	príšerný
uncanny	strašný
uncared-for	zanedbaný
uncared-for	spustnutý
uncase	vyberať
uncase	vybaľovať
uncertain	nespoľahlivý
uncertain	menlivý
uncertain	problematický
uncertain	nepravidelný
uncertain	neurčitý
uncertain	nejasný
uncertain	nerozhodný
uncertain	váhavý
uncertain	nepredvídateľný
uncertain	pochybný
uncertain	nestály
uncertain	premenlivý
uncertain	kolísavý
uncertain	vrtkavý
uncertain	nezaručený
uncertain	neistý
uncertainty	pochybnosť
uncertainty	nepevnosť
uncertainty	nestálosť
uncertainty	problematickosť
uncertainty	nepravidelnosť
uncertainty	nejasnosť
uncertainty	nerozhodnosť
uncertainty	váhavosť
uncertainty	nespoľahlivosť
uncertainty	premenlivosť
uncertainty	vrtkavosť
uncertainty	neurčiteľnosť
uncertainty	znak
uncertainty	záruka
uncertainty	neistota
uncertainty	neurčitosť
uncertified	neoverený
unchallenged	neprekonaný
unchangeable	nepremenný
unchangeable	nepremeniteľný
unchangeable	nemeniteľný
unchangeable	stály
uncharged	nenabitý
uncharged	neutrálny
uncharged	franko
unchecked	nekontrolovaný
