unchecked	neskontrolovaný
uncial	unciála
uncivil	nezdvorilý
uncle	strýko
uncle	ujec
uncle	strýc
uncoil	odvíjať
uncoil	odvinúť
uncoil	odvíjací
uncoloured	jednofarebný
uncombined	voľný
uncombined	nezlúčený
uncomfortable	nepohodlný
uncomfortable	nepríjemný
uncomfortable	trápny
uncomfortable	znepokojujúci
uncommitted	nezaviazaný
uncommitted	nespáchaný
uncommitted	neutrálny
uncommitted	neangažovaný
uncommon	neobyčajný
uncommon	nezvyčajný
uncommon	zvláštny
uncommon	neobyčajne
uncommon	mimoriadne
uncommon	mimoriadny
uncommunicative	nevravný
uncommunicative	zamĺknutý
uncomplete	neúplný
uncompress	nezhustenie
uncompress	dekompresia
uncompromising	nekompromisný
uncompromising	neústupný
unconcerned	ľahostajný
unconcerned	bezstarostný
unconditional	bezvýhradný
unconditional	naprostý
unconditional	nepodmienený
unconditional	bezpodmienečná
unconditional	bezvýhradné
unconditional	neobmedzený
unconditional	kategorický
unconditional	absolútny
unconditional	bezpodmienečný
unconditional	úplný
unconditional	neohraničený
unconditioned	nepodmienený
unconnected	nezapojený
unconnected	nesúvislý
unconquerable	nepremožiteľný
unconscious	neúmyselný
unconscious	podvedomie
unconscious	neuvedomený
unconscious	nevediaci
unconscious	neuvedomelý
unconscious	nevedomý
unconscious	mimovoľný
unconstitutional	neústavný
unconstitutional	protiústavný
uncontested	nesporný
uncontrollable	nekontrolovateľný
uncontrolled	neriaditeľný
uncontrolled	neregulovaný
uncontrolled	nekontrolovaný
uncontrolled	neovládateľný
uncontrolled	nekontrolovateľný
unconventional	nekonvenčný
unconventional	netradičný
unconventional	voľný
unconventional	nespútaný
unconverted	nekonvertovaný
uncork	odzátkovať
uncorrected	nekorigovaný
uncorrected	indikovaný
uncouple	vypájať
uncouple	rozpájať
uncoupled	neviazaný
uncoupled	nespriahnutý
uncouth	drsný
uncouth	nemotorný
uncouth	ťarbavý
uncouth	spustnutý
uncouth	neohrabaný
uncouth	ťažkopádny
uncouth	neotesaný
uncouth	neforemný
uncouth	ťažký
uncouth	hrubý
uncouth	neobvyklý
uncouth	zvláštny
uncouth	podivný
uncouth	záhadný
uncouth	tajomný
uncouth	tajuplný
uncouth	pustý
uncouth	divoký
uncouth	nezvyklý
uncover	ohroziť
uncover	odokryť
uncover	objaviť
uncover	odhaliť
uncover	odkryť
uncover	zistiť
uncover	obnažiť
uncover	otvoriť
uncover	odklopiť
uncovered	otvorený
uncovered	nezakrytý
uncovered	nepokrytý
uncovered	nezastrešený
uncovered	nahý
uncovered	holý
uncovered	nepoistený
uncovered	odkrytý
uncovered	nekrytý
uncritical	nekritický
unction	pomazanie
unction	masť
unction	pôžitok
unction	zaliečanie
unction	chlácholenie
unction	vrúcnosť
unction	namazanie
unction	balzam
unction	súcit
unction	dojatie
unction	účasť
unction	horlivosť
unction	nadšenie
unction	zápal
unction	chuť
unction	falošný
unctuous	mastný
unctuous	horlivý
unctuous	uhladený
unctuous	neúprimný
uncultivated	necivilizovaný
uncultivated	nekultivovaný
uncultivated	barbarský
uncultivated	primitívny
uncultivated	nešľachetný
uncultivated	nepestovaný
uncultivated	neškolený
uncultivated	nevzdelaný
uncultivated	samorast
uncurl	narovnať
uncurl	rozvinúť
uncurl	natiahnuť
uncut	nerozrezaný
uncut	nerezaný
uncut	neporezaný
uncut	nepodrezaný
uncut	neprerezaný
uncut	neodrezaný
uncut	neposekaný
uncut	nebrúsený
uncut	neskrátený
undamaged	nepoškodený
undated	nedátumovaný
undaunted	smelý
undaunted	odvážny
undaunted	neohrozený
undecided	nerozhodnutý
undecided	váhavý
undecided	nerozhodný
undefined	neurčený
undefined	nedefinovaný
undeniable	nesporný
undeniable	výborný
undeniable	skvelý
undeniable	nepopierateľný
undeniable	nevyvrátiteľný
undenominational	nenáboženský
undenominational	necirkevný
under	pod
under	pri
under	za
under	dolu
under	dolný
under	spodný
under	menší
under	kratší
under	stlmený
under	potlačený
under	podriadený
under	nižší
under	podľa
under fire	ostreľovaný
underarm	predlaktie
underbred	nekultivovaný
underbred	nevzdelaný
underbrush	chrapač
underbrush	podrast
undercarriage	podvozok
undercharge	počítať
undercharge	nedoplatok
underclothes	bielizeň
undercurrent	podprúdový
undercut	vyrezávať
undercut	zarezávať
