verdure	zeleň
verge	hraničiť
verge	hranica
verge	smerovať
verge	barla
verge	palica
verge	os
verge	vretienko
verge	kraj
verge	okraj
verge	obvod
verge	vreteno
verge	susediť
verge	zapadať
verge	prechádzať
verger	kostolník
verification	overenie
verification	overovanie
verification	preskúšanie
verification	preverenie
verification	prešetrenie
verification	premeranie
verification	previerka
verification	kontrola
verification	osvedčenie
verification	potvrdenie
verification	dôkaz
verification	doklad
verification	verifikácia
verification	uistenie
verification	preskúšavanie
verification	osvsedčenie
verifier	preskúšavač
verifier	overovač
verifier	preskúšačka
verify	verifikovať
verify	preverovať
verify	overovať
verify	kontrolovať
verify	zisťovať
verify	spĺňať
verify	zrevidovať
verify	potvrdzovať
verify	splniť
verify	uskutočniť
verify	overiť
verify	preskúšavať
verify	preveriť
verifying	preskúšanie
verily	naozaj
verily	skutočne
verily	nepochybne
verily	spoľahlivo
verisimilitude	pravdepodobnosť
veritable	naozajstný
veritable	pravý
veritable	skutočný
veritable	opravdivý
veritable	autentický
verity	pravdivosť
vermicular	červovitý
vermicular	červivý
vermicular	červ
vermiculate	vermikulitový
vermiculite	vermikulit
vermilion	cinóber
vermilion	cinóbrový
vermilion	rumelka
vermin	zberba
vermin	čvarga
vermin	hmyz
vermin	dravce
vermin	škodcovia
vermin	parazit
vermin	chamraď
verminous	škodlivý
verminous	zavšivavený
vermouth	vermút
vernacular	domáci
vernacular	žargón
vernacular	lokálny
vernacular	vlastný
vernacular	domorodý
vernacular	krajový
vernacular	nárečový
vernacular	dialektový
vernacular	dialektický
vernacular	ľudový
vernacular	hovorový
vernacular	typický
vernacular	charakteristický
vernacular	materčtina
vernacular	nárečie
vernacular	dialekt
vernacular	slang
vernacular	pôvodný
vernacular	miestny
vernal	jarný
vernal	mladý
vernal	čerstvý
vernal	svieži
vernal	mladícky
vernier	verniér
vernier	nónius
vernier	nóniový
vernier	verniérový
versatile	mnohostranný
versatile	otáčavý
versatile	všestranný
versatile	univerzálny
versatile	zručný
versatile	nestály
versatile	premenlivý
versatile	prispôsobivý
versatile	pružný
versatile	otočný
versatile	viacúčelový
versatility	uplatnenie
versatility	univerzálnosť
versatility	zručnosť
versatility	nestálosť
versatility	premenlivosť
versatility	prispôsobivosť
versatility	otáčavosť
versatility	všestrannosť
versatility	mnohostrannosť
verse	verš
verse	strofa
verse	poézia
verse	verše
verse	veršovaný
verse	básnický
verse	veršový
verse	zveršovať
versed	skúsený
versed	zbehlý
versed	vzopätie
versed	prevrátený
versification	veršovanie
versification	metrum
versification	zveršovanie
versification	zbásnenie
versify	zveršovať
version	verzia
version	forma
version	popis
version	preklad
version	prevod
version	preloženie
version	podoba
version	prevedenie
version	variant
version	výklad
version	podanie
version	znenie
version	interpretácia
verso	ľavý
vertebral	stavcový
vertebral column	chrbtica
vertebrate	stavovce
vertebrate	stavovcovitý
vertebrate	stavovec
vertex	vrchol
vertex	vrcholový
vertical	kolmica
vertical	kolmý
vertical	zvislý
vertical	vrcholový
vertical	stojatý
vertical	rozvrstvený
vertical	zvislica
vertical	vertikála
vertical	vertikál
vertical	zvislo
vertical	hĺbkový
vertical	snímkový
vertical	strmorúrkový
vertical	strmorúrový
vertical	zdvíhací
vertical	kartový
vertical	priamy
vertical	výškový
vertical	priečny
vertical	závesný
vertical	vertikálny
vertically	kolmo
vertiginous	otáčavý
vertiginous	točivý
vertiginous	závratný
vertiginous	nestály
vertiginous	vrtkavý
vertigo	závrat
verve	oduševnenie
verve	živosť
verve	životnosť
verve	verva
verve	elán
verve	zápal
verve	vzlet
verve	vzletnosť
