verve	energia
very	veľmi
very	veľa
very	priveľa
very	pravý
very	úplný
very	hotový
very	úplne
very	naprosto
very	absolútne
very	skutočne
very	presne
very	výborne
very	vlastný
very	zvláštny
very	samý
very	samotný
very	holý
very	čistý
very	číry
very	naprostý
very	absolútny
very	presný
very	skutočný
very	reálny
very	príliš
vesica	mechúr
vesica	pľuzgier
Vesper	večernica
vespers	nešpory
vespers	kľakanie
vessel	nádoba
vessel	plavidlo
vessel	lietadlo
vessel	vzducholoď
vessel	hydroplán
vessel	cieva
vessel	nádobka
vessel	loď
vest	vesta
vest	tričko
vest	košeľa
vest	obdariť
vest	tielko
vest	odev
vest	kazajka
vest	sutana
vest	dať
vest	prechádzať
vest	prikryť
vest	zahaliť
vest	udeliť
vest	prepožičať
vest	spočívať
vest	tkvieť
vest	delegovať
vest	zveriť
vestal	vestálka
vestal	panna
vestal	mníška
vestal	nepoškvrnený
vestal	rehoľníčka
vestal	panenský
vestal	čistý
vestal	cudný
vested	oblečený
vested	odetý
vested	oprávnený
vested	zákonný
vested	stály
vested	zabezpečený
vested	zaopatrený
vested	absolútny
vested	úplný
vestibule	predsieň
vestibule	vestibul
vestibule	chodba
vestibule	hala
vestibule	dvorana
vestibule	predsála
vestibule	plošina
vestibule	krytý
vestige	dôkaz
vestige	znak
vestige	byľôčka
vestige	byľka
vestige	stopa
vestige	pozostatok
vestige	zdanie
vestige	zrnko
vestige	prášok
vestige	zbytok
vestigial	zakrpatený
vestigial	nevyvinutý
vestigial	degenerovaný
vestry	modlitebňa
vestry	sakristia
vesture	porast
vesture	rúcho
vet	veterinár
vet	zverolekár
vet	preveriť
veteran	veterán
veteran	skúsený
veteran	vyslúžilec
veteran	vyslúžený
veteran	starý
veteran	ostrieľaný
veteran	dlhoročný
veteran	veteránsky
veterinarian	zverolekár
veterinarian	veterinár
veterinary	zverolekársky
veterinary	zverolekár
veterinary	veterinár
veterinary surgeon	veterinár
veto	veto
veto	zákaz
veto	zakázať
veto	zadržať
veto	zastaviť
veto	odpor
veto	nesúhlas
veto	námietka
vex	trápiť
vex	sužovať
vex	hnevať
vex	otravovať
vex	rozčuľovať
vex	znepokojovať
vex	súžiť
vex	týrať
vex	trýzniť
vex	mučiť
vex	rozbúriť
vex	bičovať
vex	biť
vex	stíhať
vex	obťažovať
vex	šikanovať
vex	prenasledovať
vexation	trápenie
vexation	sužovanie
vexation	zlosť
vexation	hnev
vexation	hnevanie
vexation	otravovanie
vexation	rozčuľovanie
vexation	znepokojovanie
vexation	týranie
vexation	súženie
vexation	starosť
vexation	útrapy
vexatious	znepokojujúci
vexatious	nepríjemný
vexatious	mrzutý
vexatious	protivný
vexatious	zlomyseľný
vexed	zmietaný
vexed	bičovaný
vexed	rozhnevaný
vexed	otrávený
vexed	rozbúrený
vexed	nevyriešiteľný
vexing	nepríjemný
via	cez
via	cesta
viability	životaschopnosť
viable	živý
viable	životný
viable	uskutočniteľný
viable	realizovateľný
viable	oživiť
viable	životaschopný
viaduct	viadukt
vial	fľaštička
vial	nádobka
vial	liekovka
viand	jedlo
viand	potraviny
viands	potraviny
viands	lahôdky
vibrant	zvučný
vibrant	rozochvený
vibrant	kmitajúci
vibrant	vibrujúci
vibrant	citlivý
vibrant	sýty
vibrant	rozkmitaný
vibrant	kypiaci
vibrant	prekypujúci
vibrant	pulzujúci
vibrant	energický
vibrant	vzrušený
vibrant	vzbúrený
vibrant	znelý
vibrant	vibranta
vibrate	rozochvievať
vibrate	kmitať
vibrate	posilňovať
