voracious	pažravý
voraciousness	žravosť
voraciousness	hltavosť
voraciousness	nenásytnosť
voraciousness	dychtivosť
vortex	vír
vortex	krútňava
vortex	vírenie
vortex	smršť
vortex	záplava
votary	prívrženec
votary	zasvätenec
votary	učeník
votary	rehoľník
votary	rehoľníčka
votary	žiak
votary	milovník
votary	stúpenec
votary	veriaci
votary	zástanca
votary	hlásateľ
votary	priekopník
votary	zasľúbený
vote	hlasovanie
vote	hlasovať
vote	hlas
vote	voľby
vote	volič
vote	hlasy
vote	výraz
vote	vyjadrenie
vote	vyslovenie
vote	rozpočet
vote	názor
vote	povesť
vote	sľub
vote	modlitba
vote	voliť
vote	odhlasovať
vote	prehlásiť
vote	uznať
vote	navrhnúť
vote	zasvätiť
vote down	prehlasovať
vote in	zvoliť
voter	volič
voter	volička
voting	hlasovací
voting	hlasovanie
voting	hlasujúci
votive	ofera
vouch	dosvedčiť
vouch	zodpovedať
vouch	dokladať
vouch	doložiť
vouch	citovať
vouch	potvrdiť
vouch	dokázať
vouch	osvedčiť
vouch	overiť
vouch	ručiť
vouch	zaručiť
voucher	záruka
voucher	ručiteľ
voucher	potvrdenka
voucher	potvrdenie
voucher	dôkaz
voucher	dokument
voucher	kupón
voucher	lístok
voucher	poukážka
voucher	svedok
voucher	doklad
voucher	poukaz
voucher	bon
vouchsafe	ráčiť
vow	sľub
vow	prísaha
vow	profesia
vow	modlitba
vow	zasvätiť
vow	zasľúbiť
vow	prisahať
vow	odprisahať
vowel	samohláska
voyage	plavba
voyage	cesta
voyage	cestovať
voyage	výprava
voyage	let
voyage	cestovanie
voyage	cestopis
voyage	zisk
voyage	plávať
voyage	precestovať
voyager	cestujúci
voyager	moreplavec
vulcanise	vulkanizovať
vulcanite	ebonit
vulcanite	vulkanit
vulcanization	vulkanizácia
vulcanization	vulkanizačný
vulcanize	vulkanizovať
vulgar	nevychovaný
vulgar	ľudový
vulgar	neslušný
vulgar	drsný
vulgar	obvyklý
vulgar	obyčajný
vulgar	národný
vulgar	neotesaný
vulgar	hulvátsky
vulgar	nevzdelaný
vulgar	nekultivovaný
vulgar	hrubý
vulgar	nemravný
vulgar	sprostý
vulgar	jednoduchý
vulgar	nízky
vulgar	vulgárny
vulgarian	zbohatlík
vulgarisation	popularizovanie
vulgarisation	popularizácia
vulgarisation	šírenie
vulgarisation	zhrubnutie
vulgarisation	znehodnotenie
vulgarisation	vulgarizovanie
vulgarity	obyčajnosť
vulgarity	hrubosť
vulgarity	sprostota
vulgarity	hulvátstvo
vulgarity	neotesanosť
vulgarity	nemrav
vulgarity	neslušnosť
vulgarly	ľudovo
vulgarly	všeobecne
vulgarly	vulgárne
vulnerability	zraniteľnosť
vulnerability	bezbrannosť
vulnerability	napadnuteľnosť
vulnerability	citlivosť
vulnerability	vystavenosť
vulnerability	prístupnosť
vulnerability	exponovanosť
vulnerability	nechránenosť
vulnerable	poraniteľný
vulnerable	citlivý
vulnerable	prístupný
vulnerable	exponovaný
vulnerable	nechránený
vulnerable	zraniteľný
vulnerable	bezbranný
vulnerable	napadnuteľný
vulpine	líščí
vulpine	lišiacky
vulpine	chytrácky
vulture	sup
wad	vypchávať
wad	upchávať
wad	zátka
wad	vypchať
wad	zapchať
wad	vypchávka
wad	podšívať
wad	vyvatovať
wad	chumáč
wad	vata
wad	upchávka
wad	hromada
wadding	vypchávka
wadding	výplň
wadding	vata
wadding	vatovanie
wadding	vypchávanie
wadding	upchávka
wadding	tesnenie
wadding	vatový
wadding	výplňový
waddle	uspávať
wade	prebrodenie
wading pool	brodisko
wading pool	bazénik
wafer	napolitánka
wafer	doštička
wafer	hostia
wafer	membrána
wafer	kapsľa
wafer	oblátka
wafer	plátok
wafer	vrstva
wafer-thin	tenulinký
wafer-thin	slabý
waffle	hovoriť
waffle	oblátka
waft	niesť
waft	unášať
wag	vtipkár
wag	vrtieť
wag	hroziť
wag	pokyvovať
