wall up	zamurovať
wallboard	obkladačka
wallet	tobolka
wallet	kapsa
wallet	peňaženka
wallflower	čakanka
Walloon	valónčina
Walloon	valónsky
wallop	bitka
wallop	biť
wallop	zbiť
wallop	ťať
wallop	vyťať
wallop	zmlátiť
wallop	vytrepať
wallop	trepať
wallop	zrezať
wallop	buchnúť
wallop	pôžitok
wallop	úder
wallop	vzrušenie
wallop	rozkoš
wallop	pivo
walloping	nárez
walloping	obrovský
walloping	impozantný
walloping	kolosálny
walloping	strhujúci
walloping	fantastický
wallow	bahno
wallow	kaluž
wallow	holdovať
wallow	hojdať
wallow	bahnisko
wallpaper	tapeta
wallpaper	tapety
walnut	orechový
walnut	orech
walrus	mrož
walrus moustache	fúzy
waltz	valčík
waltz	hračka
wan	pobledlý
wan	bledý
wan	bezfarbý
wan	unavený
wan	nútený
wan	kalný
wan	matný
wan	tmavý
wan	temný
wan	čierny
wan	zblednúť
wand	palička
wand	prútik
wand	taktovka
wand	žezlo
wand	tyč
wand	palica
wand	takt
wander	putovať
wander	blúdiť
wander	zablúdiť
wander	odbočovať
wander	odbočiť
wander	blúzniť
wander	preskakovať
wander	vandrovať
wanderer	pútnik
wanderer	tulák
wandering	preskupovanie
wandering	potulný
wandering	blúdivý
wandering	kľukatý
wandering	kočovný
wandering	migrujúci
wandering	sťahovavý
wandering	bludný
wanderlust	tuláctvo
wanderlust	túlavosť
wane	oblina
wane	ubúdať
wane	úbytok
wane	pokles
wane	úpadok
wane	zánik
wane	upadať
wane	klesať
wane	miznúť
wane	zanikať
wane	slabnúť
wane	blednúť
wangle	podfukom
wangle	klamstvom
wangle	zorganizovať
wangle	vyšvindľovať
wangle	vymaniť
wangle	sfalšovať
wangle	zmanipulovať
wangle	zariadiť
wangle	navliecť
wanness	vyčerpanosť
wanness	unavenosť
want	chcieť
want	musieť
want	potrebovať
want	chýbať
want	nemať
want	postrádať
want	potreba
want	spotreba
want	nevyhnutnosť
want	núdza
want	bieda
want	nedostatok
wanted	hľadajú
wanting	chýbajúci
wanting	nevyhovujúci
wanting	nedostačujúci
wanting	neuspokojivý
wanting	chybný
wanting	defektný
wanting	natvrdlý
wanton	roztopašný
wanton	chlipný
wanton	neovládateľný
wanton	samopašný
wanton	bujarý
wanton	divý
wanton	rozmarný
wanton	vrtošivý
wanton	nerestný
wanton	nemravný
wanton	vystrájať
wanton	vyvádzať
wanton	nemravnica
wanton	nezmyselný
wanton	bezdôvodný
wanton	zloprajný
wanton	nevyprovokovaný
wanton	neľudský
wanton	krutý
wanton	nevychovaný
wanton	neviazaný
wanton	divoký
wanton	bujný
wanton	necudný
wanton	spustnutý
wanton	nečestný
wanton	samopašnica
wanton	hanebnica
wanton	nedbalý
wanton	bezohľadný
wanton	svojvoľný
wanton	úmyselný
wanton	zlovoľný
wantonness	svojvoľnosť
wantonness	zloprajnosť
wantonness	bezohľadnosť
war	vojna
war	vojnový
war	boj
war	bojovať
warble	štekot
warble	trilok
warble	štebotať
warble	džavotať
warble	trilkovať
warble	cvrlikať
warble	švitoriť
warble fly	škrečok
warbler	slávik
ward	poručníctvo
ward	tútorstvo
ward	opatera
ward	chovanec
ward	chovanka
ward	zverenec
ward	poručenec
ward	rajón
ward	revír
ward	oddelenie
ward	sála
ward	starostlivosť
ward	obvod
ward	okrsok
ward off	odrážať
ward off	odvracať
ward off	odvrátiť
warden	správca
warden	vedúci
warden	strážca
warder	žalárnik
warder	stráž
warder	strážca
warder	hliadka
wardrobe	šatník
wardrobe	garderóba
wardrobe	šaty
wardrobe	šatňa
