wardrobe	skriňa
wardroom	strážnica
wardroom	spoločenský
ware	pozor
ware	výrobky
ware	keramika
ware	neglazovaný
ware	porcelán
ware	predmety
ware	tovar
warehouse	sklad
warehouse	veľkoobchod
warehouse	skladište
warehouse	úschovňa
warehouse	ukladať
warehouse	uložiť
warehouse	uskladňovať
warehouse	uskladniť
warehouse	objekt
warehouse	dom
warehouse	skladiskový
warehouse	skladovaný
warehouse	skladový
warehouse	skladovací
warehouse	koncesovaný
warehouse	skladisko
warehouseman	skladník
warehouseman	veľkoobchodník
warehouseman	skladovateľ
warehousing	skladovaný
warehousing	skladový
warfare	vojna
warfare	vojenstvo
warhead	granát
warily	obozretne
warily	opatrne
wariness	obozretnosť
wariness	ostražitosť
wariness	opatrnosť
wariness	hospodárnosť
wariness	šetrnosť
warlike	vojnový
warlike	bojachtivý
warlike	bojovný
warlock	kúzelník
warlock	čarodejník
warlord	generál
warm	ohrievať
warm	srdečný
warm	hriať
warm	ohriatie
warm	zohriatie
warm	horúci
warm	vrelý
warm	vrúcny
warm	nadšený
warm	hrejivý
warm	živý
warm	prudký
warm	čerstvý
warm	teplá
warm	teplé
warm	ohrievanie
warm	zohrievanie
warm	žeravenie
warm	teplý
warm up	vyhrievať
warm up	ohriať
warm up	rozbeh
warm-blooded	teplokrvný
warm-blooded	vrúcny
warm-blooded	vrelý
warm-blooded	horúci
warm-up	rozcvičenie
warm-up	rozcvička
warm-up	rozohriatie
warm-up	nažhavovanie
warmed	ohriaty
warmed	nahriaty
warmed	zahriaty
warmed	vyhriaty
warmer	ohrievač
warmer	ohrievadlo
warming	zahrievanie
warming	zahriatie
warming	ohriatie
warming	vyhrievanie
warming	vyhriatie
warming	výprask
warming	ohrievanie
warming	ohrievací
warming	nahrievací
warmth	teplo
warmth	teplota
warmth	vrelosť
warmth	zápal
warmth	prudkosť
warmth	podráždenosť
warmth	podráždenie
warmth	teplosť
warmth	hrejivosť
warmth	vrúcnosť
warmth	láskavosť
warmth	oddanosť
warmth	srdečnosť
warmth	rozčúlenosť
warmth	rozrušenosť
warmth	vášnivosť
warmth	čerstvosť
warn	upozorniť
warn	varovať
warn	vystríhať
warn	napomínať
warn	napomenúť
warn	upozorňovať
warning	upozornenie
warning	varovanie
warning	varovný
warning	ihneď
warning	výstraha
warning	poplachový
warning	návestný
warning	výpoveď
warning	poplach
warning	pokarhanie
warning	oznámenie
warning	pokyn
warning	vyzvanie
warning	výstražný
warp	vlniť
warp	kriviť
warp	krútiť
warp	osnova
warp	skrivenie
warp	nános
warp	bahno
warp	prekrútenie
warp	ohnúť
warp	skrútiť
warp	zboriť
warp	zvlniť
warp	osnovný
warp	nitienkový
warped	zoschnutý
warped	zvlnený
warped	skrútený
warped	krivý
warping	krivenie
warping	snovanie
warping	skrivenie
warping	deformácia
warping	snovadlo
warping	osnova
warping	krútenie
warping	skrútenie
warping	zdeformovanie
warping	zvlnenie
warping	snovací
warping	preťahovací
warrant	splnomocňovať
warrant	oprávňovať
warrant	oprávnenie
warrant	zatykač
warrant	oprávniť
warrant	zaručiť
warrant	právo
warrant	záruka
warrant	dekrét
warrant	ručiť
warrant	ospravedlniť
warrant	plnomocenstvo
warrant	splnomocnenie
warrant	ospravedlňovať
warrant	zmocnenie
warranted	zaručený
warrantee	splnomocnenec
warrantor	ručiteľ
warranty	oprávnenia
warranty	záruka
warranty	ručenie
warren	králikáreň
warren	obora
warring	súperiaci
warring	nedôsledný
warrior	bojovník
warrior	vojak
warrior	hrdina
warrior	ras
warship	loď
wart	bradavica
wart	hrča
wart	svor
wart	jazva
wartime	vojna
wary	ostražitý
wary	obozretný
wary	opatrný
wary	šetrný
wash	vlhčiť
wash	vymývať
