whirling	vírivý
whirlpool	vír
whirlpool	krútňava
whirlpool	virvar
whirlpool	chaos
whirlwind	víchor
whirlwind	smršť
whirlwind	víchrica
whirlwind	orkán
whirr	vírenie
whirr	šum
whirr	víriť
whirr	šumieť
whisk	metlička
whisk	oprašovač
whisk	zmeták
whisk	trepadlo
whisk	švihnutie
whisk	kývať
whisk	švihať
whisk	hádzať
whisk away	zaháňať
whisk away	zmetať
whisk away	uchvátiť
whisk away	uniesť
whiskers	bokombrady
whiskers	fúzy
whisky	pálenka
whisky	whisky
whisper	šepkať
whisper	šepot
whisper	šelest
whisper	šum
whisper	šuchot
whisper	rozchýriť
whisper	šelestiť
whisper	šušťať
whisper	rozchyrovať
whisperer	šepkár
whispering	šepot
whispering	šepkaný
whistle	pískanie
whistle	píšťala
whistle	pískať
whistle	hvízdať
whistle	hvizd
whistle	piskot
whistle	zapískať
whistle	zahvízdať
whistle blower	informátor
whistle blower	oznamovateľ
whistle blower	udavač
whit	kúštik
whit	trošička
whit	štipka
white	biely
white	bledosť
white	beloch
white	beloška
white	beľmo
white	bielok
white	belások
white	bledý
white	sivý
white	priezračný
white	priesvitný
white	striebristý
white	biela
white	biele
white	bieloba
white	beloba
white	perlitický
white	vazelínový
white	vákuový
white	portlandský
white man	beloch
white sauce	bešamel
white-livered	zbabelý
white-out	presvetľovať
white-out	presvetliť
whiten	bieliť
whiten	blednúť
whiten	nabieliť
whiten	belieť
whiten	zabelievať
whiten	pobelievať
whitening	roztok
whitening	beliaci
whitening	bieliaci
whitewash	vápno
whitewash	bielidlo
whitewash	líčidlo
whitewash	prebielenie
whitewash	výkvet
whitewash	roztok
whitewash	pačok
whittle	zastrúhať
whittle	stružlikovať
whittle away	zľahčovať
whittle away	oslabovať
whittle down	znižovať
whittle down	skracovať
whittle down	zmenšovať
whiz	svišťanie
whiz	hvizd
whiz	zasvišťať
whiz	zahvízdať
who	kto
who	koho
who	ktorý
whoever	ktokoľvek
whoever	každý
whoever	kto
whoever	hocikto
whole	celý
whole	vcelku
whole	celá
whole	celé
whole	úplný
whole	celok
whole	celkový
whole	celistvý
whole	zdravý
whole	neporušený
whole	zachovalý
wholesale	veľkoobchod
wholesale	veľkoobchodný
wholesale	hromadný
wholesaler	veľkoobchodník
wholesome	zdravý
wholesome	užitočný
wholesome	prospešný
wholesome	hojivý
wholesome	liečivý
wholly	úplne
wholly	celkom
wholly	výlučne
wholly	výhradne
whom	ktorého
whom	ktorému
whom	ktorý
whom	koho
whom	komu
whoop	výkrik
whoop	výskot
whoop	híkať
whopper	velikán
whopper	ozruta
whopper	nehoráznosť
whore	prostitútka
whore	konkubína
whoremaster	pasák
whorl	praslen
whorl	závit
whortleberry	čučoriedka
whose	čí
whose	ktorého
whose	koho
why	prečo
why	akože
why	však
why	veď
wick	knôt
wick	tampón
wick	knôtový
wick	dedina
wick	mesto
wicked	zlý
wicked	skazený
wicked	hriešny
wicked	podlý
wicked	škodlivý
wicked	nezbedný
wicked	šibalský
wicked	krutý
wicked	nemorálny
wicked	škodoradostný
wicked	zlomyseľný
wicked	fantastický
wicked	široko
wicked	doširoka
wicked	mimo
wicked	úplne
wicker	košina
wicker	prútený
wicket	bránka
wicket	dvierka
wicket	turniket
wicket	fortňa
wicket	stavidlo
wicket	okienko
wicket	prepážka
wide	široký
wide	šíry
wide	ďaleký
wide	liberálny
wide	široko
wide	ďaleko
wide	veľký
wide	rozľahlý
