wide	voľný
widely	široko
widely	značne
widely	všeobecne
widen	rozširovať
widen	rozšíriť
widening	rozširovanie
widening	pridávanie
widespread	roztiahnutý
widespread	rozpriahnutý
widespread	rozsiahly
widow	vdova
widowed	ovdovený
widower	vdovec
widowhood	vdovstvo
width	šírka
width	formát
width	otvor
width	rozovretie
wield	ovládať
wiener	párok
wife	manželka
wifelike	žensky
wig	parochňa
wigging	pokarhanie
wigging	vyhrešenie
wiggle	vrtieť
wiggle	krútiť
wiggle	preplietať
wiggle	vrtenie
wiggle	krútenie
wiggle	preplietanie
wigwag	signalizovať
wigwam	vigvam
wild	divý
wild	divoký
wild	divočina
wild	pustatina
wild	pustý
wild	neobývaný
wild	nespútaný
wild	výstredný
wild	búrlivý
wild	vzrušený
wild	rozčúlený
wild	naslepo
wild	neskrotený
wild	neupravený
wild	prenáhlený
wild	nepremyslený
wild	necivilizovaný
wild	eruptujúci
wild	tvrdý
wild	planý
wild	nehostinný
wild	odviazaný
wild	frenetický
wild	zúrivý
wild	fantastický
wild boar	diviak
wild card	žolík
wilderness	divočina
wilderness	pustatina
wilderness	púšť
wilderness	množstvo
wilderness	masa
wilderness	kopa
wilderness	spústa
wilding	plánka
wilding	planý
wilding	divý
wile	úskok
wile	lákať
wile	lesť
wile	klam
wile	trik
wile	zvábiť
wilful	tvrdohlavý
wilful	zámerný
wilful	úkladný
wilful	hlavatý
wilful	zanovitý
wilful	spurný
wilful	úmyselný
wilful	vedomý
will	chcieť
will	želanie
will	chcenie
will	nadšenie
will	odhodlanie
will	rozhodnutie
will	závet
will	energia
will	testament
will	záveť
will	vôľa
will-o'-the-wisp	bludička
will-o'-the-wisp	tulák
will-o'-the-wisp	prelud
will-o'-the-wisp	ilúzia
willful	zámerný
willful	úmyselný
willful	zlovoľný
willing	ochotný
willing	dobrovoľný
willingly	dobrovoľne
willingly	slobodne
willingness	ochota
willow	vŕba
willow	štíhly
willow	driečny
willow	vrbina
willy-nilly	voľky-nevoľky
willy-nilly	chtiac-nechtiac
wilt	zvädnúť
wilting	vädnutie
wily	ľstivý
wily	prefíkaný
wily	úskočný
win	pripravovať
win	dobývať
win	výhra
win	úspech
win	vyhrať
win	prekonať
win	dobiť
win	dobíjať
win	zvíťaziť
win	získať
wince	trhanie
winch	kľuka
winch	navijak
winch	vrátok
winch	vratidlo
winch	navíjadlo
winch	zvinovač
winch	rumpál
wind	vetrať
wind	prevíjať
wind	fúkať
wind	vietor
wind	dych
wind	zákruta
wind	obrátka
wind	obtáčať
wind	zavinovať
wind	vôňa
wind	pach
wind	vystopovať
wind	prevíjanie
wind	navíjanie
wind	vetrový
wind	zavetrovací
wind	táranie
wind off	odvinúť
wind off	odvíjať
wind up	naťahovať
wind up	zlikvidovať
wind up	ukončiť
windbag	vetroplach
windbag	táradlo
windbreak	vetrolam
winded	zatrúbiť
winder	navíjač
winder	prevíjač
winding	točitý
winding	kľukatý
winding	vinutie
winding	ohyb
winding	zákruta
winding	natáčanie
winding	navíjanie
winding	naťahovanie
winding	navíjací
winding-sheet	rubáš
windjammer	plachetnica
windlass	hriadeľ
windlass	zdvihák
windlass	zdvihnúť
windlass	zdvíhať
windlass	navijak
window	oblok
window	okienko
window	priehľad
window	okno
window	otvor
window	okienkový
window	priehradka
window	medzera
windowpane	sklo
windscreen wiper	stierač
windshield	sklo
windshield	stierací
windshield	predný
windshield wiper	stierač
windup	ukončenie
windup	koniec
windup	zakončenie
windward	návetrie
windward	náveterný
