woof	tkanivo
wooing	dvorenie
wooing	vohľady
wool	vlna
wool	súkno
wool	vlan
wool	vlnený
woollen	vlnený
woolly	vlnený
woolly	nejasný
woolly-headed	nahlúply
word	slovo
word	výraz
word	heslo
word	štylizovať
word	oznam
word	správa
word	záruka
word	sľub
word	rozkaz
word	príkaz
word	totožnosť
word	text
word	hádka
word	tvrdenie
word for word	doslova
word for word	doslovne
word order	slovosled
word-splitting	slovičkárenie
wording	štylizácia
wording	znenie
wordy	rozvláčny
wordy	slovný
work	práca
work	pracovať
work	úloha
work	vyrábať
work	účinkovať
work	spracovať
work	riadiť
work	sprevádzať
work	obhospodarovať
work	dobývať
work	fungovať
work	robiť
work	pôsobiť
work	dielo
work	spis
work	výšivka
work	zapôsobiť
work	obrábať
work	výplod
work	výtvor
work	služba
work	zamestnanie
work	vyčerpávať
work	upracovať
work	zapríčiniť
work	zaviniť
work	vyriešiť
work	vypočítať
work	opracovať
work	obrobok
work	vyhotovenie
work	vývalky
work	výskum
work	výrobky
work	upínací
work	pracovný
work	činnosť
work in	vsunúť
work in	zaradiť
work of art	dielo
work out	vyťažiť
work out	vyrúbať
work out	vypracovať
work-shy	márnotratník
workable	výnosný
workable	spracovateľný
workable	uskutočniteľný
workable	dobývateľný
workable	rúbateľný
workable	exploatovateľný
workable	obrábateľný
workable	možný
workaday	všedný
workaday	bežný
worker	pracovník
worker	robotník
worker	pracovníčka
workforce	zamestnanci
working	pracovisko
working	prevádzaka
working	prevádzkový
working	postup
working	pochod
working	pôsobenie
working	pracovný
working	robotný
working	pracujúci
working	robiaci
working	práca
working	beh
working	dobývanie
working	tvarovanie
working	odkopávka
working	spracúvanie
working	obrobenie
working	formovanie
working	priebeh
working	obrábajúci
working	dielenský
working	tvárniaci
working	frontálny
working	pohybový
working	podstrojový
working	homogenizačný
working	rotnícky
working	obrábací
working	operačný
working	chladiaci
working	porubový
working	hospodársky
working	úžitkový
working	provizórny
working	mechanizmus
working	exploatácia
working	aktívny
workman	robotník
workman	pracovník
workman	remeselník
workman	odborník
workmanlike	odborný
workmanship	majstrovstvo
workmanship	spracovanie
workmanship	zručnosť
workmanship	šikovnosť
workroom	dielňa
workroom	pracovňa
works	závod
works	závody
works	fabrika
works	továreň
works	továrne
works	huta
works	dielňa
workshop	dielňa
workshop	výrobňa
workshop	dielenský
workshop	prevádzkareň
workshop	kurz
workstation	pracovisko
world	svet
world	ríša
world	oblasť
world	život
world	množstvo
world	spoločnosť
world	svetový
world	zem
world	vesmír
world	ľudstvo
world-wide	svetový
world-wide	všeobecný
world-wide	celosvetový
world-wide	celosvetové
worldwide	celosvetový
worm	červ
worm	špirála
worm	závit
worm	závitnica
worm	škrkavka
worm	hlísta
worm	závitovka
worm	závitovkový
worm	šnekový
worm-eaten	červivý
worm-eaten	červotočivý
wormy	červivý
worn	nosený
worn	nosená
worn	nosené
worn	opotrebovaný
worn	obrúsený
worn	otupený
worn	opotrebený
worn-out	obnosený
worn-out	vysilený
worn-out	vyčerpaný
worn-out	ošúchaný
worn-out	otrepaný
worried	ustarostený
worried	ustarostene
worriment	trápenie
worriment	mrzutosť
worrisome	mrzutý
worrisome	trápny
worry	trápiť
worry	sužovať
worry	starosť
