bulk	tovar
bulkhead	priečka
bulkhead	priedel
bulkhead	vzdušnicový
bulkhead	upínací
bulkhead	podperný
bulkiness	objemnosť
bulky	objemný
bulky	masívny
bulky	neforemný
bull	býk
bull	bujak
bull	nezmysel
bull	bula
bulla	bula
bulldog	protizávažie
bulldozer	buldozér
bullet	guľka
bullet	strela
bullet	projektil
bullet	gulička
bullet	guľkový
bulletin	bulletin
bulletin	spravodaj
bulletin	výveska
bulletin	vestník
bulletin	súhrn
bulletin	správa
bulletin board	výveska
bullock	býček
bullock	volček
bully	tyranizovať
bully	tyran
bully	zastrašovať
bully	bitkár
bully	násilník
bully	zrážka
bully	týrať
bully	terorizovať
bulwark	bašta
bulwark	záštita
bulwark	val
bulwark	opevnenie
bulwark	hradba
bulwark	hrádza
bum	vandrák
bum	zadok
bump	rana
bump	udrieť
bump	hrča
bump	náraz
bump	naraziť
bump	úder
bump	tvrdý
bump	udierať
bump	opuchlina
bumper	veľký
bumper	nárazník
bumper	tlmič
bumper	plnosť
bumper	hojnosť
bumpkin	bambuľa
bumpkin	balík
bumpkin	chmuľo
bumpkin	truľo
bumptious	drzý
bumptious	domýšľavý
bumptious	vtieravý
bumptious	namyslený
bumptious	chvastavý
bun	brioška
bun	buchta
bunch	chumáč
bunch	zväzok
bunch	kytica
bunch	trs
bunch	partia
bunch	skupina
bunch	dav
bunch	húf
bunch	kopa
bundle	batôžtek
bundle	noša
bundle	otiepka
bundle	zvitok
bundle	balík
bundle	paketa
bundle	zväzkový
bundle	zväzkovať
bundle	viazať
bundle	baliť
bundle	zbaliť
bundle	zväzovať
bundle	zväzok
bundle	zabaliť
bundling	balenie
bundling	zväzovanie
bundling	balíkovací
bung	zátka
bung	zapchať
bung	zazátkovať
bungalow	chata
bungle	spackať
bungle	doriadiť
bungle	babráctvo
bungle	fušerstvo
bungle	babranie
bungle	chaos
bungle	zmätok
bungle	omyl
bungle	sfušovať
bungle	zbabrať
bungle	domotať
bungle	popliesť
bungle	pomýliť
bungle	neurobiť
bunion	pľuzgier
bunk	posteľ
bunk	pričňa
bunk	planda
bunker	bunker
bunkum	táraniny
bunkum	nezmysly
bunny	králiček
bunting	zástavovina
bunting	vlajkosláva
buoy	bója
buoy	plavák
buoy	plaváky
buoyancy	vztlak
buoyancy	plávateľnosť
buoyant	vzostupný
bur	ostrapok
bur	náklad
bur	bremeno
bur	záťaž
bur	náklady
bur	réžia
bur	ťarcha
bur	ťažkosť
bur	nosnosť
bur	tonáž
bur	naložiť
bur	zaťažiť
bur	vyťažiť
burden	záťaž
burden	príťaž
burden	réžia
burden	naložiť
burden	vsádzka
burden	režijný
burden	náklad
burden	bremeno
burden	tonáž
burden	nosnosť
burden	zaťažiť
burdensome	ťažký
burdock	lopúch
bureau	byro
bureau	výbor
bureau	kancelária
bureau	úrad
bureaucracy	byrokracia
bureaucracy	úradníctvo
bureaucrat	byrokrat
bureaucratic	byrokratický
bureaucratic	úradnícky
burette	byreta
burette	byretový
burgeon	výhonok
burgeon	pupeň
burgeon	pučať
burgess	mešťan
burglar	zlodej
burglar	vlamač
burglar	lupič
burglarious	lúpežný
burglary	vlúpanie
burglary	vlámanie
burgle	vylúpiť
burgomaster	primátor
burgomaster	starosta
burial	pohrebište
burial	pohreb
burial	pochovanie
buried	zaliaty
buried	ponorený
burin	rydlo
burl	chuchvalec
burl	kúdeľ
burlesque	zosmiešniť
burlesque	burleska
burlesque	paródia
burly	statný
burly	hrmotný
burly	urastený
burly	silný
burly	veľký
burly	rozložitý
burly	mohutný
