butler	sklepník
butt	terč
butt	pažba
butt	styk
butt	spojenie
butt	päta
butt	zráz
butt	plochý
butt	tupý
butt	prízemkový
butt	krupónový
butt	spájať
butter	maslo
butter	nátierka
butter	lichotenie
butter	natrieť
butter	namazať
butterfly	motýľ
butterfly	nestály
butterfly	motýlik
butterfly	tréma
buttermilk	cmar
buttock	zadok
buttock	bokorys
buttock	zásek
buttocks	bedrá
button	tlačítko
button	gombík
button	tlačidlo
button	vypínač
button	tlačidlový
button	gombíkový
button	západka
button	zapínať
button	zapnúť
button up	pozapínať
buttress	opora
buttress	výstupok
buttress	pilierový
buttress	podoprieť
buttress	podložiť
butylene	butén
butylene	butylén
butyric	butánový
butyric	maslový
buxom	bacuľatý
buxom	plnoštíhly
buy	kupovať
buy	kúpa
buy	kúpiť
buy	nakupovať
buy back	odkúpiť
buy in	skúpiť
buy in	nakupovať
buy in	skupovať
buy out	vykúpiť
buy out	vykúpenie
buy out	skúpenie
buy up	skúpiť
buy up	vykúpiť
buyer	kupec
buyer	objednávateľ
buyer	nákupca
buyer	záujemca
buyer	zásobovač
buyer	kupujúci
buyer's market	trh
buying	obchodné
buying	kúpa
buying	nákupný
buyout	skúpenie
buzz	hučať
buzz	bzukot
buzz	bzučať
buzz	povesť
buzz	vzrušenie
buzz	bzučanie
buzz	šum
buzz	šepot
buzz	hučanie
buzz	svišťanie
buzz	šíriť
buzz	rozširovať
buzz	rozchyrovať
buzzard	kaňa
buzzard	jastrab
buzzer	húkačka
buzzer	bzučiak
buzzer	telefón
buzzer	spojár
by	od
by	do
by	okolo
by	čím
by	kým
by	podľa
by	pomocou
by	prostredníctvom
by	mimo
by	po
by	za
by	vedľa
by	blízko
by all means	rozhodne
by all means	zaiste
by and by	onedlho
by and large	vcelku
by any means	hocijako
by chance	náhodou
by far	zďaleka
by fits and starts	nepravidelne
by hand	ručne
by hand	vlastnoručne
by heart	naspamäť
by no means	nijako
by the way	mimochodom
by word of mouth	ústne
by-line	vedľajší
bye	ahoj
bye-bye	zbohom
bye-bye	dovidenia
bygone	uplynulý
bygone	minulosť
bylaw	stanovy
bylaw	štatút
bypass	nahradiť
bypass	vynechať
bypass	obchvat
bypass	preklenutie
bypass	vynechanie
bypass	premostenie
bypass	obchádzajúci
bypass	núdzový
bypass	preklenúť
bystander	pozorovateľ
bystander	nezúčastnený
byword	príslovie
byword	porekadlo
byword	zosobnenie
byword	výstražný
Byzantine	byzantská
Byzantine	byzantské
Byzantine	byzantský
CPU	mikroprocesor
cab	taxík
cab	drožka
cab	taxi
cab	koč
cab	búdka
cab	klietka
cab	kabína
cabal	úklady
cabal	pikle
cabal	intrigy
cabal	čachre
cabal	klika
cabal	intrigovať
cabal	intriga
cabalist	kabalista
cabalist	komisionár
cabalist	maklér
cabalistic	kabalistický
cabana	kabína
cabana	chata
cabaret	kabaret
cabaret	vináreň
cabbage	kel
cabbage	kapusta
cabbage	kapustný
cabbage	hlávkový
cabdriver	taxikár
caber	brvno
cabin	kabína
cabin	chatrč
cabin	chata
cabin	búdka
cabin	kajuta
cabin	zrub
cabin	chalúpka
cabin	kabínový
cabin	príručný
cabinet	izbička
cabinet	skrinka
cabinet	vitrína
cabinet	študovňa
cabinet	cenný
cabinet	tajný
cabinet	dôverný
cabinet	komorný
cabinet	komorná
cabinet	komorné
cabinet	skriňa
cabinet	polkruhový
cabinet	skriňový
cabinet	komorový
cabinet	kabinet
cabinet	vláda
cable	kábelogram
cable	telegram
cable	lanový
