chap	chlapík
chapel	kostolík
chapel	modlitebňa
chapel	kaplnka
chapel	svätyňa
chaperon	sprevádzať
chaperon	gardedáma
chaplain	kaplán
chaplain	kurát
chaplet	náhrdelník
chaplet	veniec
chaplet	ruženec
chaplet	hlavica
chaplet	venček
chapter	segment
chapter	lekcia
chapter	obdobie
chapter	kapitola
chapter	hlava
chapter	zákon
chapter	povaha
chapter	črta
chapter	osoba
chapter	osobnosť
chapter	posudok
chapter	vysvedčenie
chapter	postavenie
chapter	hodnosť
chapter	písmo
chapter	písmeno
chapter	značka
char	upratovačka
char	zhorieť
char	zuhoľnatieť
charabanc	autokar
character	charakter
character	povaha
character	charakteristika
character	posudok
character	vysvedčenie
character	rys
character	písmeno
character	znak
character	značka
character	základný
character	symbol
character	znak
character	litera
character	svojráznosť
character	písmo
character	formát
character	ráz
character	potvrdzovací
characterise	charakterizovať
characteristic	exponent
characteristic	typický
characteristic	charakteristický
characteristic	charakteristika
characteristic	vzorový
characteristic	znak
characteristic	vlastnosť
characteristic	príznačný
characterization	charakteristika
characterization	charakterizácia
characterization	popis
characterization	vylíčenie
characterless	bezvýrazný
charade	šaráda
charcoal	uhlie
charcoal	drevouhoľný
charge	náklad
charge	výdavok
charge	dávka
charge	výloha
charge	povinnosť
charge	obvinenie
charge	daň
charge	náboj
charge	zaťažovať
charge	nabíjať
charge	záťaž
charge	nálož
charge	dozor
charge	zaťažiť
charge	zásobiť
charge	naplniť
charge	naložiť
charge	účtovať
charge	tvrdiť
charge	zodpovednosť
charge	žaloba
charge	vkladanie
charge	výdavky
charge	nábojový
charge	jalový
charge	dobíjať
charge	polievať
charge	poverovať
charge	ukladať
charge	zásobovať
charge	vsadiť
charge	poplatok
charge	taxa
charge	cena
charge	bremeno
charge	poveriť
charge	zdaniť
charge	plniť
charge	náklady
charge	príkaz
charge	poverenie
charge	úrad
charge	zaťaženie
chargeable	bremeno
chargeable	povinnosť
chargeable	žalovateľný
chargeable	zdaniteľný
chargeable	započítateľný
charged	nabitý
charged	účtovaný
charged	obvinený
charged	oboznámený
charger	misa
charger	nabíjač
charger	nabíjačka
charioteer	vozataj
charitable	veľkorysý
charitable	šľachetný
charitable	láskavý
charitable	dobročinný
charitable	bezplatný
charitable	zhovievavý
charitable	charitatívny
charity	dobročinnosť
charity	milosrdenstvo
charity	ľudomilstvo
charity	vľúdnosť
charity	charita
charlatan	šarlatánsky
charlatan	šarlatán
charlatan	podvodník
charm	kúzlo
charm	pôvab
charm	čaro
charm	okúzliť
charm	očariť
charm	talizman
charm	zaklínadlo
charm	šarm
charming	okúzľujúci
charming	roztomilý
charming	kúzelný
charming	očarujúci
charming	pôvabný
charming	čarovný
charnel house	márnica
charnel house	kostnica
charnel house	karnel
charnel house	hrobka
chart	graf
chart	nákres
chart	listina
chart	tabuľka
chart	poradie
chart	schéma
chart	znázorniť
chart	mapa
chart	navigačný
chart	diagram
charter	potvrdenie
charter	oprávnenie
charter	stanovy
charter	listina
charter	zlacnený
charter	prenájom
charter	patent
charter	prenajímať
charter	najať
charter	charta
charter	koncesia
chartered	autorizovaná
chartered	privilegovaný
chartered	autorizovaný
Chartism	chartizmus
charwoman	upratovačka
charwoman	pomocnica
chary	skúpy
chary	starostlivý
chary	opatrný
chary	váhavý
chase	loviť
chase	stíhať
chase	drážka
chase	kanálik
chase	ryha
chase	priekopa
chase	cizelovať
chase	rámový
chase	naháňať
chase	prenasledovať
