chaser	hrebienok
chasm	priepasť
chasm	prielom
chasm	roklina
chasm	medzera
chassis	podvozok
chassis	šasi
chassis	karoséria
chaste	triezvy
chaste	cudný
chaste	nepoškvrnený
chasten	trestať
chasten	kárať
chastise	trestať
chastity	cudnosť
chastity	čistota
chastity	zdržanlivosť
chasuble	ornát
chat	hovoriť
chat	rozprávanie
chat	beseda
chat	rozprávať
chat	besedovať
chattel	movitosť
chattel	majetok
chatter	mlieť
chatter	kecať
chatter	štebotať
chatter	švitoriť
chatter	chvenie
chatter	vibrácia
chatter	táranie
chatter	trkotanie
chatterbox	guľomet
chattering	trasenie
chattering	drnčanie
chatty	ukecaný
chatty	tárať
chatty	radorečný
chatty	zhovorčivý
chauffeur	šofér
chauffeur	vodič
chauvinism	šovinizmus
chauvinist	šovinista
chauvinistic	šovinistický
cheap	lacný
cheap	lacno
cheap	lacná
cheap	lacné
cheap	prístupný
cheapen	zlacnieť
cheapen	zlacniť
cheapness	lacnosť
cheapness	lacnota
cheat	podvádzať
cheat	napáliť
cheat	klam
cheat	oklamať
cheat	podviesť
cheat	podvod
cheat	oklamanie
cheat	podvodník
cheating	klamanie
cheating	podvádzanie
check	zdržanie
check	preskúšanie
check	revízia
check	zábrana
check	ovládanie
check	skontrolovať
check	revidovať
check	preskúmať
check	skúšať
check	zabrániť
check	zadržať
check	zaškrtávať
check	označiť
check	zatrhnúť
check	zadržanie
check	skontroluj
check	kontrolný
check	kontrolná
check	kontrolné
check	trhlina
check	trhlinka
check	skúšanie
check	overenie
check	zastavenie
check	fléra
check	zadržiavanie
check	kocka
check	brzda
check	zásah
check	lístok
check	zasahovanie
check	ťažba
check	dohľad
check	účtenka
check	zarazenie
check	zámka
check	obmedzenie
check	blok
check	porovnanie
check	katalóg
check	poukážka
check	súpiska
check	zadržiavací
check	prídržný
check	porovnávací
check	vymedzovací
check	poistný
check	dozerať
check	ohlásiť
check	značkovať
check	zaznačiť
check	zaraziť
check	zastaviť
check	kontrolovať
check	overiť
check	šek
check	kontrola
check	dozor
check	skúška
check	prekážka
check	účet
check	overovať
check	potvrdenka
check	ústrižok
check off	zatrhnúť
check off	odškrtnúť
check off	kolacionovať
check out	preskúšať
check out	vyskúšať
check out	ladiť
check out	vyklinovať
checked	kockovaný
checked	pepita
checked	károvaný
checked	kontrolovaný
checker	skúšač
checker	regenerátor
checker	kanálikový
checker	rebrovaný
checker	kontrolór
checker	inšpektor
checker	dohliadač
checker	strážnik
checker	skladník
checker	pokladník
checkered	kockovaný
checkered	kockovaná
checkered	kockované
checkered	šachovnicový
checkered	ryhovaný
checklist	katalóg
checkmate	šachmat
checkout	vyskúšanie
checkout	pretestovanie
checkout	preskúšanie
checkout	overovanie
checkout	kontrola
checkout	pokladňa
checkout	kontrolný
checkroom	šatňa
checkup	preveriť
checkup	skontrolovať
checkup	preskúšanie
checkup	revízia
checkup	kontrola
cheek	líce
cheek	tvár
cheek	bezočivosť
cheek	veraj
cheek	ostenie
cheek	bok
cheek	rameno
cheek	bočnica
cheek by jowl	dôverne
cheeky	drzý
cheeky	drzá
cheeky	drzé
cheeky	bezočivý
cheeky	papuľnatý
cheep	pípanie
cheep	pišťanie
cheep	piskot
cheep	pískať
cheer	nálada
cheer	ovácie
cheer	povzbudiť
cheer	povzbudzovať
cheer	povzbudzovanie
cheer	jasot
cheer	nádej
cheer	radosť
cheer	potešiť
cheerful	bodrý
cheerful	veselý
cheerful	čulý
cheerful	rozjasnený
