cloddish	hlúpy
clog	drevák
clog	prepchať
clog	prekážať
clog	upchávať
clog	zaťažiť
clog	klada
clog	záťaž
clog	bremeno
clogged	zanesený
clogged	zapchatý
clogged	zaťažiť
clogging	zanášanie
clogging	obmedzovanie
clogging	upchávanie
clogging	zapchanie
cloggy	lepkavý
cloister	ambit
cloister	kláštor
cloistered	kláštorný
cloistered	kláštorná
cloistered	kláštorné
clone	klonovať
clone	klon
close	zavrieť
close	zatvoriť
close	uzavrieť
close	zatvárať
close	zavierať
close	uzatvoriť
close	uzatvorený
close	spojený
close	úzky
close	tesný
close	blízky
close	podrobný
close	koniec
close	blízko
close	uzavri
close	zatvor
close	zavri
close	ukonči
close	tesná
close	tesné
close	úzka
close	úzke
close	priliehavý
close	priliehavá
close	priliehavé
close	uzáver
close	ohrada
close	dvor
close	zatvárací
close	dohodnúť
close	končiť
close	ohradzovať
close	uzavierať
close	zamykať
close	zovrieť
close	zapájať
close	zastaviť
close	sklon
close	nádvorie
close	zakončiť
close	skončiť
close	dokončiť
close	ukončiť
close	obora
close	uzavretý
close	zapečatený
close	záver
close out	uzavrieť
close out	likvidovať
close to	blízko
close-fitting	priliehavý
closed	zavretý
closed	uzavretý
closed	zatvorený
closed	zavretá
closed	zavreté
closed	uzatvorená
closed	zatvorené
closed	zatvorená
closed	uzavretá
closed	uzavreté
closed	ohradený
closed	zamknutý
closed	ohradená
closed	ohradené
closed	zamknutá
closed	zamknuté
closed	krytý
closed	zapojený
closed	úplný
closed	tajný
closed	neverejný
closed	uzatvorený
closely	blízko
closely	tesne
closely	neďaleko
closely	husto
closely	presne
closeness	tesnosť
closeness	blízkosť
closer	pásik
closer	uzatvorený
closer	uzáver
closet	komôrka
closet	kumbál
closet	klozet
closet	záchod
closet	prístenok
closet	skriňa
closet	šatník
closet	salónik
closet	príborník
closing	uzavretie
closing	zapínanie
closing	uzavretý
closing	uzavretá
closing	uzavreté
closing	uzavieranie
closing	zatvorenie
closing	približovanie
closing	spojovanie
closing	zapojenie
closing	uzáver
closing	uzatvárací
closing	zapínací
closing	záverný
closing	zatvárací
closing	uzavierací
closing	záverečný
closure	uzávierka
closure	doložka
closure	zopnutie
closure	záver
closure	uzáver
closure	ohrada
closure	zapnutie
closure	výsledný
closure	zatváranie
clot	chuchvalec
clot	chumáč
clot	chuchlavec
cloth	plátno
cloth	súkno
cloth	látka
cloth	obrus
cloth	tkanina
cloth	textil
cloth	tkaninový
cloth	plachtičkový
cloth	súkenný
cloth	látkový
clothe	obliekať
clothe	odieť
clothe	obliecť
clothe	pokryť
clothes	bielizeň
clothes	oblek
clothes	oblečenie
clothes	šaty
clothing	odev
clothing	šaty
clothing	šatstvo
cloud	mrak
cloud	oblak
cloud	marak
clouded	zamračený
cloudless	bezmračný
cloudy	zamračený
clout	handra
clout	záplata
clove	rozštiepiť
cloven	rozštiepený
clover	ďatelina
clown	šaško
clown	klaun
clown	hulvát
clown	šašo
clown	gašpar
clown	pajác
cloy	prepchať
cloy	unaviť
cloy	unavovať
cloy	ukonať
club	kyjak
club	klub
club	palica
club-shaped	kyjakovitý
cluck	kvokať
cluck	kvokanie
clue	vodidlo
clue	stopa
clue	kľúč
clump	pokrivkávať
clump	skupina
clump	skupinka
clumsy	nemotorný
