compensate	vyplatiť
compensated	vyvážený
compensated	kompenzovaný
compensation	vyrovnanie
compensation	nahradenie
compensation	vyváženie
compensation	vyrovnávanie
compensation	vyvažovanie
compensation	kompenzátor
compensation	vyrovnávací
compensation	kompenzácia
compensation	náhrada
compensation	odškodnenie
compensation	bonifikácia
compensation	plat
compensation	honorár
compensatory damages	odškodné
compensatory damages	odškodné
compere	konferenciér
compere	konferovať
compete	súťažiť
compete	konkurovať
compete	obstáť
competence	spôsobilosť
competence	oprávnenosť
competence	právomoc
competence	príslušnosť
competence	kompetencia
competence	schopnosť
competence	kvalifikácia
competence	oprávnenie
competency	kompetencia
competency	spôsobilosť
competency	príslušnosť
competent	schopný
competent	kompetentný
competent	spôsobilý
competent	prípustný
competent	postačujúci
competent	oprávnený
competent	príslušný
competent	kvalifikovaný
competent	vhodný
competition	súťaženie
competition	prehliadka
competition	pretekársky
competition	súťaž
competition	konkurencia
competition	závody
competition	konkurz
competitive	súťažiaci
competitive	konkurencia
competitive	ctižiadostivý
competitive	závodný
competitive	konkurencieschopný
competitive	súťažný
competitive	konkurenčný
competitiveness	konkurencieschopnosť
competitor	uchádzač
competitor	pretekár
competitor	konkurent
competitor	konkurenčný
competitor	firma
competitor	súper
compilation	preklad
compilation	kompilácia
compilation	súbor
compilation	zostava
compilation	zostavenie
compile	vytvárať
compile	zozbierať
compile	skladať
compile	zostaviť
compile	zhrnúť
compile	prekladať
compile	zostavovať
compile	kompilovať
compile	zobrať
compile	zhromaždiť
compiler	prekladač
compiler	kompilátor
compiler	zostavovač
compiler	zostavovateľ
compiling	kompilovanie
compiling	kompilácia
compiling program	kompilátor
compiling program	prekladač
compiling program	zostavovač
complacency	samoľúbosť
complacent	samoľúby
complacent	sebauspokojený
complacent	uspokojený
complain	reklamovať
complainant	žalobca
complaint	reklamácia
complaint	žaloba
complaint	choroba
complaint	neduh
complaint	sťažnosť
complement	komplement
complement	doplnok
complement	doplňovať
complement	doplnenie
complement	dopĺňať
complement	komplementárny
complement	doplnkový
complementary	komplementárny
complementary	doplnková
complementary	doplnkové
complementary	komplementárna
complementary	komplementárne
complementary	doplňovací
complementary	doplnkový
complementary	pomocný
complementation	komplementácia
complete	kompletný
complete	celý
complete	dokončovať
complete	zostavovať
complete	naprostý
complete	kompletovať
complete	doplňovať
complete	súbor
complete	kompletizovať
complete	dokončiť
complete	skončiť
complete	plný
complete	dokonalý
complete	perfektný
complete	vyplniť
complete	doplniť
complete	úplný
complete	dokončený
completed	hotový
completed	dokončený
completed	skončený
completely	kompletne
completely	úplne
completely	celkom
completely	vyčerpávajúco
completeness	úplnosť
completing	doplnenie
completion	ukončenie
completion	komplex
completion	súbor
completion	vykonávanie
completion	komplexný
completion	zložený
completion	zložitý
completion	dokončenie
completion	splnenie
completion	uskutočnenie
completion	doplnenie
complex	súhrn
complex	komplexný
complex	súhrnný
complex	celý
complex	komplexná
complex	komplexné
complex	zložený
complex	komplikovaný
complex	spletitý
complex	komplex
complex	súbor
complex	úplný
complex	zložitý
complexion	tvár
complexion	pleť
complexity	komplexnosť
complexity	obťažnosť
complexity	zložitosť
compliance	dodržanie
compliance	poddajnosť
compliance	posunutie
compliance	elastickosť
compliance	zhoda
compliance	súhlas
compliance	povolenie
compliance	vyhovenie
compliance	poslušnosť
compliance	splnenie
compliant	zhodný
compliant	súhlasný
complicate	komplikovať
complicate	zapliesť
complicated	zložitý
complicated	komplikovaný
complicated	komplikovaná
complicated	komplikované
complicated	zložitá
complicated	zložité
complicated	spletitý
complicated	spletitá
complicated	spletité
complication	komplikácia
complicity	spoluúčasť
complicity	komplictvo
complicity	spoluvina
complicity	komplikovanosť
compliment	poklona
