Estonian word,Slovak word
"""teen mis tahan""","„urob, čo chcem“"
"""üheksasabaline kass""","""deväť mačka"""
-ga,s
-le,v
-mata,-Máte
-ni,cent
-tu,ne-
200 aasta juubel,200. výročie
300 aasta juubel,300. výročie
AS,AS
Aabel,Abel
Aadam,Adam
Aadama ja Eeva poeg,Syn Adama a Evy
Aadria,Jadran
Aadria meri,Jadranské more
Aafrika,Afrika
Aasia,Ázie
Addis Abeba,Addis Abeba
Afganistan,Afganistan
Aischylos,Aischylos
Alam-Austria,Dolné Rakúsko
Albaania,Albánsko
Aleksander,Aleksander
Aleksander Suur,Alexander Veľký
Aleksandria,Alexandria
Alžeeria,Alžírsko
Alžiir,Alžír
Ameerika,Amerika
Ameerika Ühendriigid,Spojené štáty americké
Ameerika ženšenn,Americký ženšen
Andamani meri,Andamanské more
Andreas,Andreas
Andrew,Andrew
Antakya,Antakya
Antarktika,antarktický
Antarktis,Antarctica
Anthony,Anthony
Antillid,Antily
Antiochia,Antioch
Antiookia,Antioch
Antonius,Antonius
Antverpen,Antverpy
Antwerpen,Antverpy
Apenniinid,Apeniny
Aphrodite,Aphrodite
Apollo,apollo
Apostlite tegude raamat,Kniha zákonov
Araabia,arabčina
Araabia meri,Arabské more
Araabia Ühendemiraadid,Spojené arabské emiráty
Araali meri,Aralské more
Arachne,Arachne
Arafura meri,Arafuraské more
Aragoonia,Aragon
Aragón,Aragón
Argentina,Argentína
Aristoteles,Aristoteles
Arktika,Arktída
Armeenia,Arménsko
Artur,Artur
Aserbaidžaan,Azerbajdžan
Assoorid,Azory
Assüüria,asýrsky
Ateena,Atény
Atika,Attica
Atlandi,atlantický
Atlandi ookean,Atlantický oceán
Atlandil,atlantický
Atlas,atlas
Augustinus,Augustinus
Austraalia,Austrália
Austria,Rakúsko
Baal,Baal
Babülon,Babylon
Babüloonia,Babylonia
Bagdad,Bagdad
Bahama,Bahamské ostrovy
Bahama saared,Bahamy
Bahama saarte elanik,Trvalý pobyt na Bahamách
Bahrein,Bahrain
Baier,Baier
Baieri,Bavaria
Baierimaa,Bavaria
Bakchos,Bakchos
Bakchose pidustused,Oslavy Bakchosu
Bakchose preestrinna,Kňazské kňazstvo
Bakuu,Baku
Baleaari saared,Baleárske ostrovy
Baleaarid,Baleárske ostrovy
Balkan,balkán
Barbadose saarte elanik,Trvalý pobyt na Barbadosových ostrovoch
Barentsi meri,Barentsovo more
Bartholomew,Bartholomew
Bartolomeus,Bartholomew
Baskimaa,Baskicko
Beauforti meri,Beaufortské more
Belgia,Belgicko
Belgrad,Belehrad
Benedictus,benedikt
Bengali,bengálčina
Beringi meri,Beringovo more
Beringi väin,Beringov prieliv
Berliin,Berlín
Bermuda,Bermudy
Bermuda saared,Bermudské ostrovy
Bhutan,bhutan
Bhutani,Bhutanese
Birma,Burma
Boliivia,Bolívia
Bombay,Bombaj
Bonifatius,Boniface
Bosnia ja Hertsegoviina,Bosna a Hercegovina
Bosporus,Bospor
Botsvaana,Botswana
Botswana,botswana
Brasiilia,Brazília
Brasília,Brasília
Breemen,Brémy
Bremen,Brémy
Bretagne,Brittany
Britannia,United Kingdom
Briti saared,Britské ostrovy
Brüssel,Brusel
Brüsseli,Brusel
Buddha,Buddha
Bukarest,Bukurešť
Bulgaaria,Bulharsko
Burgundia,burgundské
Burgundia vein,Burgundské víno
Böömimaa,čechy
Bütsants,byzantská ríša
Bütsantsi kirik,Byzantský kostol
CPU,CPU
Cabo Verde,Cape Verde
Caesar,Caesar
Calcutta,Kalkata
California,Kalifornia
Canberra,Canberra
Caracas,Caracas
Cardiff,Cardiff
Carlsbad,Carlsbad
Casablanca,casablanca
Catherine,Kateřina
Chad,chad
Charles,Charles
Charles I toetaja,Zástanca Karola I.
Charlotte,charlotte
Colombia,Kolumbia
Colombo,Colombo
Columbia,Columbia
Cooki saared,Cookove ostrovy
Costa Rica,Kostarika
Cupido,Cupido
Côte d'Ivoire,Pobrežie Slonoviny
D-vitamiin,Vitamín D
DNA,DNA
Daakia,Dacian
Dalai laama,Dalajláma
Dalmaatsia,Dalmácia
Damaskus,Damask
Daniel,daniel
Dardanellid,Dardanely
Darwini,Darwin
David,David
Davise väin,Davisova úžina
Delfi,Delfi
Descartesi,Descartes
Deuteronoomia,Deuteronoomia
Dionysos,Dionysos
Djibouti,Džibutsko
Dominikaani Vabariik,Dominikánska republika
Donetsk,Donetsk
Doonau,dunaj
Dresden,Drážďany
Dušanbe,Dušanbe
E,E
Ecuador,Ekvádor
Ecuadori,Ekvádor
Edinburgh,Edinburgh
Edward,Edward
Eedeni aed,Záhrada Eden
Eelija,Elijah
Eesti,Estónsko
Eeva,predvečer
Efesos,Ephesus
Egeuse,Egejský
Egeuse meri,Egejské more
Egiptus,egypt
Egiptuse,Egypťan
Egiptuse Araabia vabariik,Egyptská arabská republika
Ehatäht,večerné hviezdy
Eiffeli torn,Eiffelova veža
Ekvatoriaal-Guinea,Rovníková Guinea
Elevandiluurannik,Pobrežie Slonoviny
Elizabethi-aegne,Elizabeth čas
Ephesos,Ephesos
Erie järv,Lake Erie
Esra,Ezra
Ester,Esther
Etioopia,Etiópia
Etruuria,Etruuria
Eufrat,Eufrat
Eukleidese,Euclidean
Eukleidese geomeetria,Euklidovská geometria
Euraasia,Eurasia
Euroopa,Európa
Euroopa Liit,Európska únia
Euroopa Nõukogu,Rada Európy
Euroopa jalgpall,Európsky futbal
Euroopa nulg,Európska jedľa
Euroopa-,euro
Ezra,Ezra
FBI mees,Muž FBI
Falklandi saared,Falklandské ostrovy
Faun,Faun
Fidži,Fiji
Fidži elanik,Fidži s bydliskom
Filipiini,filipínsky
Filipiinid,Filipíny
Filippus,filip
Firenze,Florence
Flandria,Flanders
Foiniikia,fenický
Frances,Frances
Francis,Francis
Frederick,Frederick
Friedrich,Friedrich
Fääri saared,Faerské ostrovy
Gaboni,Gabon
Galilea,Galilee
Gambia,Gambia
Gehenna,peklo
Genova,Janov
Genua,Janov
George,George
Georgia,Georgia
Ghana,Ghana
Gibraltar,Gibraltár
Ginea-Bissau,Guinea-Bissau
Golan,Golan
Golani kõrgendikud,Golanské výšiny
Golfi hoovus,Golfový potok
Greenwich,Greenwich
Gregorius,Gregor
Gregoriuse kalender,Gregoriánsky kalendár
Gruusia,Georgia
Grööni,Grónsko
Grööni meri,Grónske more
Gröönimaa,Grónsko
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,guyana
Göteborg,Gothenburg
H,H
H-vitamiin,Vitamín H
Habakuk,Habakkuk
Hades,Hades
Haggai,Aggeus
Haiiti,haiti
Haiti,haiti
Hannoveride,Hannover
Hannoveride toetaja,Podporovateľ Hannoveru
Hanoi,Hanoi
Hartum,Chartúm
Havai,havajský
Havanna,Havana
Hawaii,Hawaii
Hea Lootuse neem,Mys Dobrej nádeje
Hektor,Hektor
Helen,Helen
Helena,helena
Helsingi,Helsinki
Helsinki,Helsinki
Henry,Henry
Hera,Hera
Herakles,Heracles
Herkules,Herkules
Hermes,hermes
Herodes,Herodes
Herodotos,Hérodotos
Hertsegoviina,Herzegovina
Hesekiel,Ezekiel
Hestia,Hestia
Hieronymus,Hieronymus
Hiina,Čína
